drug,prot,score
ZINC000040430143,O97193,0.93
ZINC000000599871,O97193,0.94
ZINC000100014880,O97193,0.94
ZINC000252548735,Q27686,0.94
ZINC000252548734,Q27686,0.94
ZINC000169289411,Q27686,0.94
ZINC000001482169,O15826,0.96
ZINC000003780941,O15826,0.97
ZINC000095618608,Q4QBL1,0.98
ZINC000000001898,O97193,0.98
ZINC000261494662,Q4QBL1,1.0
ZINC000261494663,Q4QBL1,1.0
ZINC000085599303,Q4QBL1,1.0
ZINC000095618832,Q4QBL1,1.0
ZINC000003936683,O15826,1.02
ZINC000000537997,O15826,1.02
ZINC000003974496,O15826,1.02
ZINC000095618608,Q27686,1.02
ZINC000000002232,O97193,1.03
ZINC000085599303,Q27686,1.04
ZINC000095618832,Q27686,1.04
ZINC000261494663,Q27686,1.04
ZINC000261494662,Q27686,1.04
ZINC000000897232,O15826,1.06
ZINC000000897229,O15826,1.06
ZINC000003808350,O97193,1.07
ZINC000003861637,O97193,1.08
ZINC000000403609,O15826,1.08
ZINC000000002176,O15826,1.08
ZINC000103591745,O97193,1.08
ZINC000000538194,O15826,1.08
ZINC000135669648,Q4QHJ8,1.11
ZINC000299841531,Q4QHJ8,1.11
ZINC000299841533,Q4QHJ8,1.11
ZINC000299841532,Q4QHJ8,1.11
ZINC000003808779,O15826,1.12
ZINC000000601316,O97193,1.12
ZINC000003830579,O97193,1.12
ZINC000098052868,O97193,1.12
ZINC000150363615,O97193,1.12
ZINC000159897988,O97193,1.12
ZINC000159898174,O97193,1.12
ZINC000029058869,O15826,1.13
ZINC000105576134,O15826,1.13
ZINC000137281876,O15826,1.13
ZINC000043103796,O97193,1.14
ZINC000003808350,Q4QHJ8,1.14
ZINC000299841511,Q4QHJ8,1.15
ZINC000299841511,O97193,1.16
ZINC000001530621,Q4QBL1,1.16
ZINC000068268153,O97193,1.16
ZINC000103591745,Q4QHJ8,1.18
ZINC000072316335,O15826,1.18
ZINC000100468481,O15826,1.2
ZINC000005921098,O15826,1.2
ZINC000003935475,O15826,1.2
ZINC000003936035,Q4QBL1,1.21
ZINC000001530621,Q27686,1.21
ZINC000000538119,O15826,1.21
ZINC000001482169,O97193,1.21
ZINC000096273105,O15826,1.21
ZINC000043171152,O15826,1.22
ZINC000205341959,O15826,1.22
ZINC000169677008,Q4QBL1,1.23
ZINC000169621231,Q4QBL1,1.23
ZINC000169621230,Q4QBL1,1.23
ZINC000254113657,Q4QBL1,1.23
ZINC000003974496,O97193,1.24
ZINC000000537997,O97193,1.24
ZINC000005736075,O97193,1.24
ZINC000000003897,O15826,1.25
ZINC000100017456,O15826,1.25
ZINC000169621230,Q27686,1.26
ZINC000169621231,Q27686,1.26
ZINC000254113657,Q27686,1.26
ZINC000169677008,Q27686,1.26
ZINC000206179175,Q4QBL1,1.26
ZINC000003780941,O97193,1.26
ZINC000095617678,Q4QBL1,1.27
ZINC000085536990,Q4QBL1,1.27
ZINC000169356261,Q4QBL1,1.27
ZINC000253496134,Q4QBL1,1.27
ZINC000000403609,O97193,1.28
ZINC000000002176,O97193,1.28
ZINC000253684767,Q4QBL1,1.28
ZINC000003936683,O97193,1.28
ZINC000003873121,O15826,1.28
ZINC000014974583,O15826,1.28
ZINC000169289388,Q4QBL1,1.28
ZINC000257372319,Q4QBL1,1.28
ZINC000261494640,Q4QBL1,1.28
ZINC000096006018,Q4QBL1,1.28
ZINC000005736075,Q4QHJ8,1.29
ZINC000003927605,O15826,1.3
ZINC000261494640,Q27686,1.31
ZINC000004097225,O15826,1.31
ZINC000100011067,O15826,1.31
ZINC000049937658,O15826,1.31
ZINC000053261548,O15826,1.31
ZINC000000897229,O97193,1.31
ZINC000257372319,Q27686,1.31
ZINC000169289388,Q27686,1.31
ZINC000253684767,Q27686,1.31
ZINC000096006018,Q27686,1.31
ZINC000000897232,O97193,1.31
ZINC000012496045,O15826,1.33
ZINC000003798734,O15826,1.33
ZINC000095617678,Q27686,1.33
ZINC000206179363,Q4QBL1,1.33
ZINC000169356261,Q27686,1.33
ZINC000085536990,Q27686,1.33
ZINC000253496134,Q27686,1.33
ZINC000000538194,O97193,1.34
ZINC000299888509,Q4QBL1,1.34
ZINC000299888511,Q4QBL1,1.34
ZINC000063539231,O15826,1.34
ZINC000068153186,O15826,1.34
ZINC000013520815,O15826,1.34
ZINC000033972864,O15826,1.34
ZINC000253687865,Q4QBL1,1.34
ZINC000299888510,Q4QBL1,1.34
ZINC000000006157,O15826,1.34
ZINC000001999487,O15826,1.34
ZINC000072190122,O15826,1.38
ZINC000103590359,O15826,1.38
ZINC000100014880,Q4QHJ8,1.38
ZINC000103590355,O15826,1.38
ZINC000072190121,O15826,1.38
ZINC000035279789,O15826,1.39
ZINC000206179175,Q27686,1.39
ZINC000029058869,O97193,1.4
ZINC000003936035,Q27686,1.41
ZINC000072190219,O15826,1.43
ZINC000003830916,O15826,1.43
ZINC000169677038,O15826,1.43
ZINC000299816961,O15826,1.43
ZINC000206179363,Q27686,1.44
ZINC000118915339,O15826,1.46
ZINC000118915338,O15826,1.46
ZINC000118915336,O15826,1.46
ZINC000118915337,O15826,1.46
ZINC000000006170,O15826,1.47
ZINC000043200753,O15826,1.48
ZINC000100734163,O15826,1.48
ZINC000072316335,O97193,1.49
ZINC000005921098,O97193,1.49
ZINC000299888510,Q27686,1.5
ZINC000253687865,Q27686,1.5
ZINC000299888509,Q27686,1.5
ZINC000003787060,O15826,1.5
ZINC000205341959,O97193,1.5
ZINC000299888511,Q27686,1.5
ZINC000000601314,O15826,1.5
ZINC000003813082,O15826,1.5
ZINC000096273105,O97193,1.51
ZINC000105576134,O97193,1.53
ZINC000000000449,O15826,1.53
ZINC000100016058,O15826,1.53
ZINC000137281876,O97193,1.53
ZINC000003813083,O15826,1.53
ZINC000003808779,O97193,1.54
ZINC000000003897,O97193,1.54
ZINC000169748244,O15826,1.55
ZINC000006716826,O15826,1.55
ZINC000118915344,O15826,1.56
ZINC000256479166,O15826,1.56
ZINC000256479159,O15826,1.56
ZINC000027552910,O15826,1.56
ZINC000004214473,O15826,1.56
ZINC000256479162,O15826,1.56
ZINC000003935475,O97193,1.57
ZINC000100017456,O97193,1.57
ZINC000040430143,Q4QHJ8,1.58
ZINC000003927605,O97193,1.58
ZINC000003873121,O97193,1.59
ZINC000000607939,O15826,1.6
ZINC000100001918,O15826,1.6
ZINC000040939374,O15826,1.6
ZINC000049937658,O97193,1.61
ZINC000053261548,O97193,1.61
ZINC000003931713,O15826,1.61
ZINC000025723899,Q4QHJ8,1.63
ZINC000000538119,O97193,1.63
ZINC000095627836,O15826,1.63
ZINC000014974583,O97193,1.64
ZINC000000001676,O15826,1.64
ZINC000100468481,O97193,1.65
ZINC000068153186,O97193,1.65
ZINC000299817032,O15826,1.66
ZINC000043171152,O97193,1.66
ZINC000001999487,O97193,1.66
ZINC000000006157,O97193,1.66
ZINC000100011067,O97193,1.66
ZINC000063539231,O97193,1.68
ZINC000299841531,Q4QBL1,1.68
ZINC000033972864,O97193,1.68
ZINC000135669648,Q4QBL1,1.68
ZINC000299841532,Q4QBL1,1.68
ZINC000299841533,Q4QBL1,1.68
ZINC000068268153,Q4QHJ8,1.68
ZINC000004214603,O15826,1.7
ZINC000004097225,O97193,1.7
ZINC000014299682,O15826,1.71
ZINC000003953037,Q4QHJ8,1.71
ZINC000003938686,O15826,1.71
ZINC000035279789,O97193,1.72
ZINC000033650458,O15826,1.73
ZINC000001530694,O15826,1.73
ZINC000003808779,Q4QHJ8,1.73
ZINC000003808350,Q4QBL1,1.74
ZINC000144366783,O15826,1.74
ZINC000053006885,O15826,1.75
ZINC000004217580,O15826,1.75
ZINC000149738712,O15826,1.75
ZINC000019362693,O15826,1.76
ZINC000003977757,O15826,1.76
ZINC000003830579,Q4QHJ8,1.76
ZINC000000601316,Q4QHJ8,1.76
ZINC000138930200,O15826,1.77
ZINC000103591745,Q4QBL1,1.77
ZINC000003830916,O97193,1.77
ZINC000003922770,O15826,1.78
ZINC000072190109,O15826,1.78
ZINC000002530707,O15826,1.78
ZINC000003990364,O15826,1.78
ZINC000072190219,O97193,1.79
ZINC000000001676,O97193,1.8
ZINC000118915337,O97193,1.8
ZINC000118915338,O97193,1.8
ZINC000118915339,O97193,1.8
ZINC000004074875,O15826,1.8
ZINC000004097427,O15826,1.8
ZINC000118915336,O97193,1.8
ZINC000002530703,O15826,1.81
ZINC000100018854,O15826,1.81
ZINC000100018852,O15826,1.81
ZINC000003920028,O15826,1.81
ZINC000034176696,O15826,1.81
ZINC000256072844,O15826,1.81
ZINC000256072846,O15826,1.81
ZINC000256072841,O15826,1.81
ZINC000000000347,O15826,1.81
ZINC000072481720,O15826,1.81
ZINC000000896557,O15826,1.81
ZINC000000896560,O15826,1.81
ZINC000299841511,Q4QBL1,1.82
ZINC000037866091,O15826,1.82
ZINC000012496045,O97193,1.82
ZINC000003798734,O97193,1.82
ZINC000000006170,O97193,1.83
ZINC000136880056,O15826,1.84
ZINC000000601314,O97193,1.85
ZINC000003813082,O97193,1.85
ZINC000072190121,O97193,1.85
ZINC000072190122,O97193,1.85
ZINC000103590355,O97193,1.85
ZINC000103590359,O97193,1.85
ZINC000000000504,Q4QHJ8,1.85
ZINC000000000855,Q4QHJ8,1.85
ZINC000000002276,O15826,1.85
ZINC000000000106,O15826,1.85
ZINC000103588732,O15826,1.86
ZINC000102215424,O15826,1.86
ZINC000008552018,O15826,1.86
ZINC000003813083,O97193,1.87
ZINC000000000449,O97193,1.87
ZINC000299841533,Q27686,1.88
ZINC000135669648,Q27686,1.88
ZINC000299841532,Q27686,1.88
ZINC000299841531,Q27686,1.88
ZINC000005751767,O15826,1.89
ZINC000004217580,O97193,1.91
ZINC000000603777,O15826,1.91
ZINC000004245650,O15826,1.91
ZINC000003808350,Q27686,1.92
ZINC000043103796,Q4QHJ8,1.92
ZINC000100014880,Q4QBL1,1.92
ZINC000006716826,O97193,1.93
ZINC000005752185,O15826,1.94
ZINC000043200753,O97193,1.94
ZINC000005736075,Q4QBL1,1.94
ZINC000299841511,Q27686,1.95
ZINC000100037890,O15826,1.96
ZINC000013648755,O15826,1.96
ZINC000100037885,O15826,1.96
ZINC000103591745,Q27686,1.96
ZINC000095618855,O15826,1.97
ZINC000100016058,O97193,1.97
ZINC000100468481,Q4QHJ8,1.97
ZINC000000968338,O15826,1.97
ZINC000000968340,O15826,1.97
ZINC000003975804,O15826,1.97
ZINC000100054890,O15826,1.97
ZINC000100054893,O15826,1.97
ZINC000169748244,O97193,1.98
ZINC000169677038,O97193,1.99
ZINC000299816961,O97193,1.99
ZINC000005921098,Q27686,10.02
ZINC000299818016,O15826,10.03
ZINC000150338726,O97193,10.04
ZINC000003938673,O15826,10.04
ZINC000005736075,Q6TUJ5,10.06
ZINC000072316409,O97193,10.06
ZINC000012496045,Q27686,10.06
ZINC000003798734,Q27686,10.06
ZINC000043606386,O15826,10.07
ZINC000027726359,O15826,10.07
ZINC000003953156,O97193,10.08
ZINC000000003857,O97193,10.09
ZINC000003780631,O97193,10.09
ZINC000148723177,O97193,10.09
ZINC000238730518,O97193,10.11
ZINC000003804917,O15826,10.11
ZINC000000597348,O15826,10.11
ZINC000034114400,O15826,10.11
ZINC000011677730,O15826,10.11
ZINC000000002226,O15826,10.14
ZINC000261494664,O15826,10.15
ZINC000100054235,O15826,10.15
ZINC000100054230,O15826,10.15
ZINC000100054232,O15826,10.15
ZINC000230122970,O15826,10.15
ZINC000006032030,O97193,10.16
ZINC000100051482,O97193,10.16
ZINC000006067254,O97193,10.16
ZINC000256009345,O97193,10.16
ZINC000256009346,O97193,10.16
ZINC000100051487,O97193,10.16
ZINC000003932194,O97193,10.17
ZINC000003821234,O15826,10.18
ZINC000100037885,Q4QBL1,10.19
ZINC000013648755,Q4QBL1,10.19
ZINC000100037890,Q4QBL1,10.19
ZINC000006010196,O97193,10.22
ZINC000089224316,O97193,10.22
ZINC000113139653,O15826,10.25
ZINC000040863182,O15826,10.27
ZINC000147603875,O97193,10.3
ZINC000003782807,O15826,10.31
ZINC000140358266,O15826,10.31
ZINC000034057058,O15826,10.32
ZINC000031291771,O15826,10.32
ZINC000005699865,O97193,10.33
ZINC000100054849,O97193,10.33
ZINC000003833858,O15826,10.33
ZINC000095618850,O97193,10.33
ZINC000100054856,O97193,10.33
ZINC000015880093,O97193,10.34
ZINC000095616595,O15826,10.35
ZINC000252517142,O15826,10.35
ZINC000040939374,Q4QBL1,10.37
ZINC000043195317,O97193,10.38
ZINC000001999441,O15826,10.38
ZINC000005844788,O15826,10.38
ZINC000003798603,O15826,10.38
ZINC000004213946,O15826,10.38
ZINC000000607986,O15826,10.38
ZINC000005844792,O15826,10.38
ZINC000011681534,O15826,10.38
ZINC000034005963,O97193,10.39
ZINC000084726167,Q4QHJ8,10.39
ZINC000095579362,O97193,10.4
ZINC000064526521,O15826,10.4
ZINC000027093989,O97193,10.41
ZINC000001537184,O15826,10.41
ZINC000044305871,Q4QHJ8,10.41
ZINC000095539256,O97193,10.41
ZINC000004217167,O97193,10.44
ZINC000003875356,O97193,10.44
ZINC000003924220,O97193,10.46
ZINC000257362266,O15826,10.47
ZINC000026247473,O97193,10.47
ZINC000072190219,Q27686,10.48
ZINC000146905479,O97193,10.49
ZINC000024782119,O15826,10.5
ZINC000000833553,Q4QHJ8,10.5
ZINC000049682739,O15826,10.5
ZINC000085433138,O15826,10.5
ZINC000008214373,O15826,10.5
ZINC000000601229,Q4QHJ8,10.5
ZINC000085433135,O15826,10.5
ZINC000000897240,Q4QHJ8,10.5
ZINC000003925649,Q4QHJ8,10.52
ZINC000005736075,P48499,10.52
ZINC000003872931,O15826,10.53
ZINC000005932901,O97193,10.53
ZINC000003953158,O97193,10.53
ZINC000000002131,O97193,10.53
ZINC000001543566,O97193,10.53
ZINC000001544545,O97193,10.53
ZINC000256296835,O97193,10.54
ZINC000031544156,O97193,10.54
ZINC000118915222,O97193,10.54
ZINC000256296829,O97193,10.54
ZINC000031475642,O97193,10.54
ZINC000103592099,O15826,10.54
ZINC000238730523,O15826,10.54
ZINC000118915223,O97193,10.54
ZINC000085589133,O97193,10.55
ZINC000085589139,O97193,10.55
ZINC000008552018,Q4QBL1,10.55
ZINC000085589135,O97193,10.55
ZINC000261494711,O97193,10.55
ZINC000085589142,O97193,10.55
ZINC000261494710,O97193,10.55
ZINC000012484926,O97193,10.58
ZINC000030691381,O97193,10.58
ZINC000012484919,O97193,10.58
ZINC000004474414,O97193,10.58
ZINC000003637723,O97193,10.6
ZINC000000601254,O97193,10.61
ZINC000000896755,O97193,10.61
ZINC000035802598,O15826,10.61
ZINC000004245650,Q4QBL1,10.62
ZINC000003959242,Q4QHJ8,10.64
ZINC000008214681,O97193,10.64
ZINC000008576333,O15826,10.65
ZINC000049087932,O15826,10.66
ZINC000000598650,O97193,10.66
ZINC000003827198,O15826,10.67
ZINC000004059755,O15826,10.67
ZINC000084441937,O15826,10.67
ZINC000000840834,O15826,10.67
ZINC000239173596,O15826,10.67
ZINC000011525121,O15826,10.67
ZINC000003861637,Q27686,10.68
ZINC000095618909,O15826,10.69
ZINC000261494573,O15826,10.69
ZINC000095618911,O15826,10.69
ZINC000261494574,O15826,10.69
ZINC000095618908,O15826,10.69
ZINC000095618910,O15826,10.69
ZINC000072693284,O97193,10.72
ZINC000053683271,O97193,10.72
ZINC000054053579,O97193,10.72
ZINC000261527196,O97193,10.72
ZINC000003917540,O97193,10.72
ZINC000003977981,O97193,10.76
ZINC000095617657,O97193,10.77
ZINC000095617660,O97193,10.77
ZINC000095617659,O97193,10.77
ZINC000095617658,O97193,10.77
ZINC000095936819,O97193,10.77
ZINC000005751767,Q4QBL1,10.78
ZINC000043203993,O15826,10.79
ZINC000002112569,O97193,10.79
ZINC000100068378,O97193,10.79
ZINC000003197739,O97193,10.79
ZINC000004214473,Q27686,10.8
ZINC000118915344,Q27686,10.8
ZINC000256479166,Q27686,10.8
ZINC000027552910,Q27686,10.8
ZINC000256479159,Q27686,10.8
ZINC000068205235,O97193,10.8
ZINC000100051242,O97193,10.8
ZINC000011616036,O97193,10.8
ZINC000245204943,O97193,10.8
ZINC000118912516,O97193,10.8
ZINC000256479162,Q27686,10.8
ZINC000003985982,O97193,10.8
ZINC000000006990,O97193,10.82
ZINC000000021067,O97193,10.82
ZINC000003916310,O97193,10.83
ZINC000003927605,Q4QBL1,10.83
ZINC000095830588,O15826,10.84
ZINC000000000494,O97193,10.85
ZINC000000389149,O97193,10.85
ZINC000004074875,Q4QBL1,10.86
ZINC000000000928,O15826,10.86
ZINC000004097427,Q4QBL1,10.86
ZINC000003875469,O97193,10.86
ZINC000103591880,O15826,10.88
ZINC000003784120,O97193,10.9
ZINC000006119198,O97193,10.9
ZINC000013415989,O97193,10.9
ZINC000013587680,O97193,10.9
ZINC000003806063,O15826,10.91
ZINC000004213419,O15826,10.91
ZINC000013527467,O15826,10.94
ZINC000006019913,O15826,10.94
ZINC000072316335,Q4QBL1,10.94
ZINC000022064534,Q4QHJ8,10.96
ZINC000001842744,O97193,10.96
ZINC000001842745,O97193,10.96
ZINC000000597260,Q4QHJ8,10.96
ZINC000001842746,O97193,10.96
ZINC000000607726,O97193,10.96
ZINC000000001261,O15826,10.97
ZINC000004213353,O15826,10.97
ZINC000001444556,O97193,10.97
ZINC000003870336,O15826,10.98
ZINC000261494612,O97193,10.98
ZINC000000004234,O15826,10.98
ZINC000100031739,O97193,10.99
ZINC000004081428,Q4QBL1,100.04
ZINC000000967566,O97193,100.05
ZINC000013537284,Q27686,100.09
ZINC000009574552,O97193,100.1
ZINC000299841510,O97193,100.1
ZINC000137847451,Q6TUJ5,100.15
ZINC000006717782,O15826,100.16
ZINC000072190221,O15826,100.16
ZINC000003916787,Q4QHJ8,100.18
ZINC000003776950,O97193,100.19
ZINC000072190155,O97193,100.21
ZINC000000602871,O15826,100.22
ZINC000000595076,O15826,100.27
ZINC000021981258,Q6TUJ5,100.28
ZINC000021981256,Q6TUJ5,100.28
ZINC000029134545,Q4QHJ8,100.33
ZINC000001537619,O15826,100.35
ZINC000000000102,O15826,100.41
ZINC000000002269,O15826,100.41
ZINC000013726249,Q4QHJ8,100.44
ZINC000000537804,Q4QBL1,100.44
ZINC000003795699,Q4QHJ8,100.44
ZINC000035801098,Q6TUJ5,100.45
ZINC000000968337,O97193,100.51
ZINC000030690612,Q4QBL1,100.52
ZINC000103591880,Q27686,100.53
ZINC000000598852,O15826,100.53
ZINC000034074273,Q27686,100.56
ZINC000002008393,O97193,100.59
ZINC000002008394,O97193,100.59
ZINC000002008391,O97193,100.59
ZINC000002008392,O97193,100.59
ZINC000043101772,Q4QBL1,100.7
ZINC000042833251,Q4QBL1,100.7
ZINC000003961849,O97193,100.75
ZINC000003928701,O97193,100.77
ZINC000000005191,O97193,100.81
ZINC000043128345,O97193,100.81
ZINC000095618856,Q4QHJ8,100.83
ZINC000299873007,Q27686,100.84
ZINC000253946951,Q27686,100.84
ZINC000150338726,Q27686,100.85
ZINC000299841516,O15826,100.86
ZINC000299841517,O15826,100.86
ZINC000003977985,Q27686,100.89
ZINC000003951311,Q4QHJ8,100.89
ZINC000169362007,Q4QHJ8,100.9
ZINC000000008767,P48499,100.97
ZINC000003941149,O97193,100.98
ZINC000034806477,Q4QBL1,100.99
ZINC000002016001,Q27686,1000.05
ZINC000072318121,Q27686,1000.17
ZINC000042921858,Q4QBL1,1000.28
ZINC000034356159,Q4QBL1,1000.3
ZINC000255962815,Q4QHJ8,1000.62
ZINC000253387843,Q4QHJ8,1000.62
ZINC000113368700,Q27686,1000.85
ZINC000035929252,Q4QHJ8,1000.94
ZINC000003818808,Q4QHJ8,10000.89
ZINC000001485546,Q4QHJ8,10001.73
ZINC000003794361,Q27686,100013.51
ZINC000005934263,Q27686,100013.51
ZINC000000005009,Q27686,100013.51
ZINC000001851061,Q27686,100013.51
ZINC000000591953,Q27686,10002.65
ZINC000003783756,Q27686,10002.65
ZINC000003816518,Q4QBL1,10002.79
ZINC000043199890,Q27686,10003.6
ZINC000001914818,Q27686,10004.1
ZINC000052971454,Q27686,10004.5
ZINC000073069271,P48499,10004.96
ZINC000001531008,Q4QHJ8,100046.56
ZINC000059749972,Q6TUJ5,10005.22
ZINC000000000941,Q4QHJ8,10005.63
ZINC000000603736,P48499,10006.23
ZINC000072266307,P48499,10006.23
ZINC000095618715,Q4QBL1,10006.58
ZINC000095618714,Q4QBL1,10006.58
ZINC000072190123,Q6TUJ5,10007.04
ZINC000096077887,Q4QHJ8,10007.28
ZINC000033994719,Q4QHJ8,10007.28
ZINC000006093393,P48499,10007.9
ZINC000002383210,P48499,10007.9
ZINC000002015955,Q27686,10008.16
ZINC000000895536,Q4QBL1,10008.25
ZINC000068247071,P48499,10008.69
ZINC000001529628,Q4QBL1,100084.47
ZINC000003926844,Q4QBL1,10009.02
ZINC000095618710,Q27686,10009.55
ZINC000095618711,Q27686,10009.55
ZINC000003779726,Q4QBL1,1001.08
ZINC000005760466,O15826,1001.2
ZINC000005760531,O15826,1001.2
ZINC000002570883,O15826,1001.2
ZINC000005760468,O15826,1001.2
ZINC000034141652,O15826,1001.31
ZINC000022065576,O15826,1001.31
ZINC000003784427,O97193,1001.53
ZINC000034509627,Q4QBL1,1001.61
ZINC000001280665,Q27686,1001.66
ZINC000043170287,Q4QBL1,1001.94
ZINC000118417120,Q4QBL1,1001.94
ZINC000030691552,Q27686,1001.95
ZINC000030691548,Q27686,1001.95
ZINC000030691561,Q27686,1001.95
ZINC000030691556,Q27686,1001.95
ZINC000261494618,Q6TUJ5,10010.21
ZINC000261494619,Q6TUJ5,10010.21
ZINC000118915220,Q6TUJ5,10010.21
ZINC000118915221,Q6TUJ5,10010.21
ZINC000261494616,Q6TUJ5,10010.21
ZINC000118915218,Q6TUJ5,10010.21
ZINC000261494617,Q6TUJ5,10010.21
ZINC000118915219,Q6TUJ5,10010.21
ZINC000001550477,Q6TUJ5,10010.32
ZINC000001530654,Q4QBL1,10010.58
ZINC000001530652,Q4QBL1,10010.58
ZINC000005934092,Q27686,100104.31
ZINC000072190222,Q4QBL1,10011.08
ZINC000072190154,Q27686,10011.57
ZINC000028571311,O97193,10011.79
ZINC000006281719,Q4QHJ8,10011.94
ZINC000043206271,Q4QBL1,10012.01
ZINC000022940637,Q6TUJ5,10012.21
ZINC000013727255,P48499,10012.25
ZINC000003874498,P48499,10012.35
