drug,prot,score
id-2667,O97193,1.77
id-1383,O97193,1.77
id-4149,O15826,1.78
id-475,O15826,1.8
id-1329,O15826,1.81
id-1349,O15826,1.81
id-2333,O15826,1.82
id-78,O97193,1.82
id-2977,O97193,1.83
id-433,O15826,1.85
id-1796,Q4QHJ8,1.85
id-2185,O97193,1.85
id-1689,O97193,1.87
id-1731,O15826,1.88
id-2470,O97193,1.88
id-430,O97193,1.89
id-3611,O97193,1.91
id-3746,O97193,1.91
id-3880,Q4QBL1,1.92
id-5359,O97193,1.92
id-1645,O97193,1.94
id-4197,O15826,1.95
id-4114,O15826,1.96
id-2129,O15826,1.97
id-3609,O97193,1.97
id-5201,O97193,1.98
id-1987,O97193,1.99
id-4778,O97193,1.99
id-1352,O15826,10.04
id-78,Q27686,10.06
id-2851,Q27686,10.09
id-5233,O97193,10.09
id-3366,O97193,10.12
id-710,O97193,10.13
id-2759,O15826,10.14
id-4114,Q4QBL1,10.19
id-5305,O15826,10.2
id-1889,O15826,10.31
id-4808,O15826,10.33
id-1887,O15826,10.38
id-1961,O97193,10.44
id-3520,O97193,10.47
id-4651,O15826,10.5
id-271,Q4QHJ8,10.5
id-730,O15826,10.5
id-1302,Q4QHJ8,10.51
id-1481,O15826,10.53
id-464,O97193,10.58
id-1783,O97193,10.61
id-4546,O97193,10.62
id-2481,O97193,10.64
id-1131,Q4QHJ8,10.64
id-3088,O15826,10.65
id-4891,O15826,10.66
id-2611,O15826,10.67
id-5390,O97193,10.73
id-1204,O97193,10.76
id-1032,O97193,10.8
id-1645,Q4QBL1,10.83
id-1483,O97193,10.83
id-1779,O97193,10.85
id-1734,O97193,10.86
id-475,Q4QBL1,10.86
id-182,O15826,10.86
id-4329,O97193,10.88
id-1422,O97193,10.9
id-4151,O15826,10.91
id-5218,Q4QBL1,10.94
id-1934,Q4QHJ8,10.96
id-297,O97193,10.96
id-2734,O97193,10.97
id-1206,O15826,10.97
id-814,O15826,10.97
id-1406,O15826,10.98
id-1733,Q4QBL1,100.04
id-4259,O97193,100.05
id-774,Q6TUJ5,100.08
id-129,Q27686,100.09
id-215,O97193,100.21
id-3782,O15826,100.25
id-1199,O15826,100.26
id-4690,O15826,100.35
id-424,O15826,100.41
id-4183,Q6TUJ5,100.45
id-268,O97193,100.51
id-2757,O15826,100.53
id-4326,O97193,100.75
id-422,O97193,100.81
id-1998,O97193,100.87
id-1198,Q27686,100.89
id-1010,O97193,100.9
id-327,O97193,100.9
id-4628,Q4QBL1,100.99
id-4257,O15826,1000.02
id-5259,Q27686,1000.17
id-197,Q4QHJ8,1000.62
id-2814,Q6TUJ5,1000.78
id-1927,Q27686,10000.21
id-4713,Q4QHJ8,10000.89
id-2165,Q27686,10004.16
id-4773,O97193,10004.26
id-3264,Q4QHJ8,100046.56
id-5188,Q6TUJ5,10005.22
id-210,Q4QHJ8,10005.63
id-3055,P48499,10005.94
id-3443,Q6TUJ5,10009.66
id-2070,Q4QBL1,1001.08
id-3480,O97193,1001.1
id-1424,O97193,1001.53
id-1386,Q27686,1001.66
id-2765,Q27686,1001.95
id-1548,Q6TUJ5,10010.32
id-1395,Q4QBL1,10010.58
id-4192,Q4QBL1,10012.01
id-1933,P48499,10012.35
id-2830,P48499,10012.96
id-3583,O15826,10013.53
id-2182,P48499,10013.53
id-2595,Q6TUJ5,10013.9
id-275,Q27686,10014.84
id-5008,Q27686,10015.57
id-2287,P48499,10016.13
id-1045,Q27686,10016.68
id-4639,P48499,10017.15
id-203,Q4QHJ8,10017.4
id-1501,O15826,10017.6
id-5008,Q4QBL1,10017.99
id-1202,Q4QHJ8,10018.43
id-528,Q27686,10018.58
id-3364,O97193,1002.34
id-4259,Q27686,1002.77
id-509,O97193,1002.88
id-3050,O97193,1002.96
id-2027,Q4QBL1,10020.15
id-4185,Q6TUJ5,10020.3
id-4942,P48499,10021.53
id-2042,Q27686,10022.76
id-854,P48499,100228.53
id-569,Q4QHJ8,10023.12
id-3392,Q4QHJ8,10025.1
id-641,Q6TUJ5,10025.86
id-4654,Q6TUJ5,10026.42
id-310,Q27686,10027.94
id-5208,Q4QBL1,10029.36
id-734,O97193,1003.0
id-3825,Q4QBL1,1003.47
id-1878,Q6TUJ5,1003.49
id-1785,Q6TUJ5,1003.61
id-868,Q4QBL1,10030.03
id-4654,Q4QHJ8,10030.65
id-4872,Q6TUJ5,10030.8
id-2351,P48499,10031.13
id-2212,Q4QHJ8,10032.21
id-2954,Q27686,10033.13
id-5297,Q27686,10033.31
id-2459,Q4QBL1,10033.41
id-3126,P48499,10033.89
id-2296,Q6TUJ5,100332.74
id-1466,P48499,10034.01
id-1282,Q4QBL1,10034.04
id-2696,P48499,10034.94
id-2305,P48499,100342.27
id-4178,Q27686,10036.08
id-2027,Q27686,10036.71
id-586,Q6TUJ5,1003618.81
id-5341,Q27686,10037.14
id-4318,Q4QBL1,10037.43
id-5258,P48499,10037.76
id-1004,Q27686,10038.05
id-3822,Q27686,100387.01
id-5297,Q4QBL1,10039.8
id-3290,Q4QHJ8,100391.86
id-3766,Q6TUJ5,1004.53
id-1333,P48499,10041.03
id-209,Q6TUJ5,100414.79
id-1842,Q27686,100418.32
id-4786,O15826,10042.64
id-5188,Q4QHJ8,10043.65
id-4312,Q27686,10044.22
id-1932,Q6TUJ5,10044.56
id-495,Q4QHJ8,10044.72
id-5257,Q27686,100447.65
id-4050,P48499,10045.04
id-5297,Q4QHJ8,10045.47
id-1686,P48499,10046.08
id-1920,Q4QHJ8,10047.33
id-1803,P48499,1004737.9
id-3443,Q27686,10048.04
id-3892,Q4QHJ8,10049.53
id-158,Q27686,1005.56
id-566,Q4QBL1,1005.71
id-3881,Q6TUJ5,10050.38
id-1737,Q6TUJ5,100503.58
id-4775,O97193,10051.37
id-1932,Q27686,10051.73
id-5203,Q27686,10051.81
id-120,Q4QBL1,10052.75
id-4318,Q4QHJ8,10053.9
id-3651,Q4QBL1,10054.3
id-1548,P48499,10054.42
id-1758,Q4QHJ8,10054.52
id-5209,Q6TUJ5,10054.61
id-2455,Q4QBL1,100549.66
id-1297,Q4QBL1,10055.15
id-4318,Q6TUJ5,10056.83
id-2256,Q6TUJ5,100562.14
id-3210,P48499,10058.21
id-2735,O15826,10058.33
id-1333,Q27686,10058.68
id-199,Q6TUJ5,10058.92
id-4893,Q4QBL1,10059.89
id-1477,Q6TUJ5,100596.32
id-2174,Q27686,1006.57
id-1908,Q4QBL1,1006.9
id-4340,Q6TUJ5,10062.37
id-2419,P48499,10064.89
id-989,Q4QHJ8,10065.86
id-4786,Q27686,100650.56
id-4178,Q4QHJ8,10066.81
id-3282,Q4QBL1,100667.03
id-1775,Q6TUJ5,10067.14
id-3405,Q4QBL1,10067.28
id-286,Q4QBL1,10068.59
id-2165,Q4QHJ8,10069.68
id-3103,O97193,1007.0
id-3920,Q4QBL1,1007.03
id-4667,Q4QBL1,1007.03
id-2161,Q27686,1007.52
id-3169,O15826,1007.58
id-3072,Q4QHJ8,1007.6
id-2268,Q4QHJ8,10070.11
id-5290,O15826,10072.14
id-1045,Q6TUJ5,10072.75
id-652,Q4QHJ8,10074.04
id-4410,Q6TUJ5,100748.08
id-2405,Q4QHJ8,10075.19
id-310,Q4QBL1,10075.73
id-3490,Q4QHJ8,10076.56
id-1903,Q27686,10077.03
id-1194,Q27686,10077.3
id-4178,Q4QBL1,10077.52
id-4772,Q27686,10077.79
id-1927,O97193,1008.22
id-4898,Q4QBL1,1008.62
id-1786,Q6TUJ5,10080.95
id-2954,Q4QHJ8,10082.21
id-42,Q27686,10083.12
id-4318,Q27686,10083.33
id-2682,Q6TUJ5,1008469.08
id-4192,Q4QHJ8,10086.11
id-4715,Q6TUJ5,10089.63
id-5343,Q6TUJ5,1009.02
id-4616,Q6TUJ5,1009.8
id-5372,Q4QBL1,1009.82
id-4654,Q4QBL1,10090.14
id-3682,P48499,10090.15
id-655,Q6TUJ5,10091.6
id-3431,P48499,100911.37
id-1702,P48499,10092.58
id-2253,P48499,10092.58
id-1752,Q27686,100926.66
id-1370,Q6TUJ5,10093.26
id-303,Q6TUJ5,10094.2
id-637,Q6TUJ5,10094.73
id-2596,Q6TUJ5,10095.25
id-64,O15826,10095.75
id-2508,Q4QBL1,10096.26
id-3533,P48499,10096.3
id-1183,P48499,10097.0
id-3443,Q4QBL1,10098.19
id-740,Q4QBL1,10098.8
id-1898,Q27686,10099.03
id-1333,Q4QBL1,10099.07
id-1920,Q27686,10099.85
id-3847,Q4QHJ8,100991.29
id-3051,Q27686,100994.06
id-4354,O97193,101.17
id-4157,Q4QBL1,101.2
id-2279,O97193,101.23
id-5348,Q4QHJ8,101.23
id-2129,P48499,101.28
id-1178,O97193,101.28
id-274,O15826,101.35
id-1664,O97193,101.38
id-536,O15826,101.48
id-1879,Q27686,101.5
id-2384,O15826,101.52
id-2066,Q4QHJ8,101.59
id-3406,Q27686,101.6
id-3275,O15826,101.65
id-3189,O97193,101.68
id-4186,Q4QHJ8,101.7
id-1442,O15826,101.74
id-5014,O97193,101.75
id-5048,O97193,101.77
id-1116,Q6TUJ5,101.79
id-483,O15826,101.81
id-1574,Q4QHJ8,101.93
id-1845,O15826,101.96
id-1035,Q4QHJ8,1010.0
id-828,Q27686,1010.06
id-434,Q6TUJ5,1010.45
id-2874,Q4QBL1,1010.54
id-549,Q4QBL1,1010.94
id-1991,Q6TUJ5,10101.51
id-4853,O97193,101014.57
id-3729,Q27686,101027.55
id-1548,Q27686,10103.9
id-2875,Q4QBL1,10104.27
id-4195,P48499,10104.4
id-897,Q27686,101049.18
id-4225,P48499,10105.88
id-1927,Q4QBL1,10107.04
id-1586,P48499,10107.78
id-72,O97193,1011.05
id-5269,Q4QHJ8,1011.49
id-280,P48499,1011.71
id-1404,P48499,1011.95
id-4868,Q4QHJ8,1011.95
id-1480,P48499,101106.23
id-5287,O97193,10111.2
id-4588,Q4QBL1,10113.81
id-2363,Q4QHJ8,10113.95
id-4409,Q4QHJ8,10114.54
id-4872,Q27686,10116.33
id-3748,Q27686,10117.52
id-705,Q4QHJ8,10119.06
id-48,Q27686,10119.9
id-2055,O15826,1012.67
id-5274,Q4QBL1,1012.8
id-5388,P48499,10120.81
id-1567,Q27686,1012059.09
id-1389,Q4QBL1,10121.64
id-4872,Q4QHJ8,10124.08
id-4225,Q4QBL1,10124.74
id-3533,Q6TUJ5,10125.25
id-2017,Q6TUJ5,10126.94
id-5290,O97193,10129.39
id-1482,Q6TUJ5,1013.31
id-1031,Q6TUJ5,1013.54
id-310,Q4QHJ8,10130.5
id-5388,Q27686,10131.81
id-1173,Q4QHJ8,10132.36
id-2326,P48499,101325.16
id-1024,P48499,101325.16
id-1108,Q27686,101331.27
id-3340,O97193,10135.17
id-1898,Q4QHJ8,10135.49
id-1584,Q4QBL1,10135.88
id-1333,Q4QHJ8,10135.98
id-3160,Q6TUJ5,10136.17
id-4118,P48499,10136.4
id-2483,Q4QBL1,101367.44
id-525,Q27686,10137.0
id-5188,Q4QBL1,10137.38
id-1945,Q4QHJ8,10139.49
id-5188,Q27686,10139.82
id-2650,Q4QHJ8,1014.2
id-5376,Q27686,1014.55
id-5081,Q4QHJ8,1014.74
id-210,P48499,10140.29
id-3722,Q6TUJ5,1014000.55
id-1140,Q4QHJ8,101412.8
id-2699,Q4QHJ8,10142.18
id-3443,Q4QHJ8,10142.59
id-5341,Q4QHJ8,10143.12
id-1886,Q4QBL1,10144.7
id-444,Q4QHJ8,101458.97
id-3533,Q4QBL1,10146.4
id-3447,Q27686,10146.5
id-5388,Q6TUJ5,10146.53
id-1966,Q4QHJ8,101480.47
id-2232,Q27686,10149.62
id-4424,Q4QHJ8,1015.0
id-548,O97193,1015.22
id-2432,Q4QBL1,1015.32
id-4458,Q4QBL1,1015.76
id-204,Q4QBL1,1015.81
id-2232,P48499,10150.48
id-3065,P48499,10151.59
id-3494,O97193,10152.35
id-1037,Q27686,10153.95
id-2863,O97193,10154.89
id-4244,Q4QHJ8,101541.88
id-5255,O97193,10155.51
id-640,P48499,10155.92
id-4418,Q4QBL1,101559.16
id-521,P48499,10156.01
id-1423,Q27686,10156.53
id-1991,Q4QHJ8,10157.17
id-1423,Q4QBL1,10159.02
id-2704,Q4QBL1,1016.66
id-1548,Q4QBL1,10160.76
id-1548,Q4QHJ8,10162.41
id-4613,Q4QBL1,101637.42
id-1202,Q27686,10165.26
id-5203,Q4QHJ8,10165.76
id-3750,P48499,10165.78
id-4240,Q4QBL1,101658.45
id-3023,P48499,10166.0
id-4328,P48499,10167.39
id-1621,P48499,10168.52
id-867,O97193,1017.39
id-2331,Q6TUJ5,1017.48
id-1189,O97193,1017.56
id-3346,O15826,10171.87
id-711,Q4QBL1,10172.02
id-3805,Q4QHJ8,10172.95
id-3408,Q27686,101722.26
id-2388,P48499,10175.23
id-1499,P48499,10175.23
id-5388,Q4QHJ8,10176.28
id-2604,O97193,10176.87
id-4820,Q27686,10176.93
id-3128,O97193,10177.59
id-2387,Q4QHJ8,10179.81
id-696,O15826,101794.16
id-4615,O97193,101798.01
id-3820,O97193,1018.15
id-527,O15826,1018.79
id-1062,Q4QHJ8,1018.89
id-1764,P48499,10181.15
id-1556,Q4QHJ8,10182.33
id-3572,Q27686,10185.62
id-3477,Q27686,101869.07
id-450,Q4QBL1,10188.97
id-3046,Q27686,1019.29
id-4682,Q4QBL1,1019.42
id-5383,Q4QHJ8,1019.47
id-2370,O97193,1019.68
id-3507,Q4QHJ8,1019.85
id-2631,Q4QBL1,101906.54
id-439,Q6TUJ5,101911.24
id-3959,Q27686,10193.27
id-3257,Q6TUJ5,10193.88
id-3110,O15826,10195.83
id-3508,O15826,101950.97
id-4730,Q4QHJ8,10196.19
id-2680,P48499,10196.3
id-2299,P48499,101978.96
id-1927,Q4QHJ8,10198.2
id-2255,Q4QHJ8,10198.47
id-2588,Q27686,10198.98
id-2226,Q4QHJ8,102.0
id-1228,P48499,102.17
id-824,Q4QBL1,102.24
id-348,Q4QBL1,102.24
id-965,O97193,102.26
id-1095,O15826,102.36
id-4470,Q4QHJ8,102.4
id-710,Q4QHJ8,102.49
id-3956,O97193,102.49
id-534,O15826,102.49
id-74,O97193,102.52
id-1598,O15826,102.57
id-1208,Q4QHJ8,102.63
id-297,Q4QBL1,102.8
id-2022,Q27686,102.81
id-709,O97193,102.82
id-2999,Q4QBL1,102.83
id-454,Q4QBL1,102.83
id-4573,Q4QHJ8,102.9
id-2223,Q4QHJ8,102.95
id-2689,Q4QHJ8,1020.18
id-668,O97193,1020.3
id-3816,Q4QBL1,1020.46
id-2136,Q4QHJ8,1020.51
id-2088,Q4QHJ8,10200.28
id-1898,Q4QBL1,10200.44
id-3094,Q6TUJ5,102008.64
id-3049,P48499,102010.32
id-478,O97193,10203.35
id-763,Q4QHJ8,10203.46
id-1423,Q4QHJ8,10203.62
id-1409,Q27686,10204.11
id-1343,Q27686,102040.56
id-3281,P48499,102042.02
id-4075,P48499,102050.87
id-5388,Q4QBL1,10207.08
id-199,Q27686,10207.69
id-1864,Q27686,1021.3
id-4209,P48499,1021.34
id-2191,O15826,1021.62
id-2132,O15826,1021.71
id-1074,Q4QBL1,10212.72
id-3270,Q4QHJ8,102126.98
id-5290,P48499,10215.1
id-785,Q6TUJ5,10215.97
id-5388,O97193,10216.87
id-4872,Q4QBL1,10216.89
id-983,Q4QBL1,10217.11
id-5388,O15826,10218.05
id-2195,Q27686,10218.71
id-45,O97193,1022.02
id-1030,Q4QBL1,1022.06
id-960,Q4QBL1,1022.06
id-2369,Q4QBL1,1022.46
id-1611,Q4QHJ8,1022.75
id-2013,P48499,1022.89
id-4456,O97193,1022.95
id-1869,P48499,10221.15
id-1900,Q4QBL1,10221.93
id-4135,Q4QHJ8,102229.63
id-199,Q4QBL1,10223.47
id-5341,Q4QBL1,10225.96
id-2221,Q27686,102252.08
id-3583,P48499,102269.54
id-1473,Q4QHJ8,1023.08
id-1461,Q4QHJ8,1023.08
id-5283,Q27686,1023.24
id-2238,O97193,1023.38
id-1861,P48499,10232.63
id-2593,Q4QBL1,10234.35
id-2361,P48499,10236.79
id-2699,Q27686,10237.43
id-98,Q4QHJ8,10237.88
id-4774,Q4QHJ8,10238.5
id-3756,O15826,10238.68
id-277,Q6TUJ5,1024.09
id-2407,Q27686,1024.31
id-4677,Q27686,1024.93
id-1720,O97193,10241.1
id-5290,Q6TUJ5,10241.24
id-1512,P48499,10241.56
id-3739,Q27686,102411.63
id-3102,P48499,10242.03
id-4799,Q6TUJ5,10242.14
id-3049,O97193,10242.46
id-3302,Q4QHJ8,10246.39
id-334,P48499,102463.59
id-1147,Q4QBL1,10247.09
id-2671,Q27686,10248.91
id-4225,Q6TUJ5,10249.41
id-1297,Q4QHJ8,10249.48
id-1865,Q6TUJ5,1025.07
id-3474,O97193,1025.63
id-187,Q27686,10252.74
id-117,Q6TUJ5,10253.4
id-445,Q4QBL1,10254.25
id-393,O97193,10254.35
id-3651,Q4QHJ8,10257.78
id-4330,P48499,10258.67
id-2237,Q6TUJ5,1026.13
id-1070,O15826,1026.65
id-2782,Q4QBL1,1026.75
id-3389,Q27686,102616.03
id-2149,Q27686,102616.03
id-33,Q6TUJ5,102632.09
id-1643,P48499,10265.72
id-3892,Q27686,10268.58
id-1744,P48499,10268.86
id-740,Q4QHJ8,10269.57
id-374,Q6TUJ5,1027.18
id-532,Q4QHJ8,1027.51
id-3118,O97193,1027.68
id-887,Q4QBL1,1027.73
id-3346,Q27686,102701.81
id-3435,Q6TUJ5,102702.26
id-4769,Q27686,102706.82
id-3533,Q27686,10271.45
id-763,Q27686,10272.28
id-2355,Q4QBL1,10275.68
id-421,Q4QBL1,102757.64
id-4640,P48499,102762.04
id-2711,P48499,102768.41
id-3533,Q4QHJ8,10277.92
id-1906,Q4QHJ8,102779.19
id-3186,Q27686,102783.65
id-1393,Q27686,1028.49
id-4937,Q27686,1028.52
id-1376,P48499,1028.87
id-1432,Q4QBL1,10280.15
id-1886,Q4QHJ8,10282.74
id-4825,P48499,10282.89
id-4675,Q4QBL1,10282.91
id-1745,Q27686,102835.63
id-1927,Q6TUJ5,10284.08
id-4868,Q6TUJ5,10284.38
id-521,Q6TUJ5,10285.3
id-2190,O97193,1029.1
id-1438,Q6TUJ5,1029.63
id-3839,Q6TUJ5,1029.71
id-637,O97193,1029.86
id-1037,Q4QBL1,10291.15
id-3685,Q27686,10292.98
id-3053,Q6TUJ5,1029290.48
id-2146,O15826,10293.99
id-2144,Q4QBL1,1029554.4
id-3040,P48499,10299.12
id-2114,P48499,102991.39
id-2368,P48499,102993.2
id-3579,Q27686,103.06
id-3604,P48499,103.09
id-5288,O97193,103.09
id-1479,O15826,103.17
id-1594,Q4QBL1,103.22
id-710,Q4QBL1,103.27
id-3210,O97193,103.31
id-2547,Q4QBL1,103.36
id-3478,O15826,103.42
id-3695,O97193,103.42
id-823,P48499,103.55
id-4402,O97193,103.66
id-2433,O15826,103.68
id-2152,Q4QBL1,103.78
id-4976,O15826,103.78
id-1085,O97193,103.78
id-242,O15826,103.89
id-3095,Q27686,103.89
id-3111,O97193,1030.06
id-283,Q4QBL1,1030.23
id-5253,Q4QBL1,1030.23
id-3643,Q4QBL1,1030.37
id-3412,Q4QBL1,10300.85
id-1451,P48499,103007.73
id-691,Q6TUJ5,10301.32
id-5290,Q4QBL1,10301.4
id-4612,Q4QBL1,10301.96
id-3481,Q4QBL1,10302.37
id-1722,P48499,103020.91
id-539,Q6TUJ5,10305.48
id-1527,Q6TUJ5,103069.62
id-199,Q4QHJ8,10308.75
id-533,Q4QHJ8,1031.15
id-594,Q4QBL1,1031.38
id-3851,Q4QHJ8,1031.48
id-1407,Q4QHJ8,1031.48
id-2732,Q4QHJ8,1031.54
id-5290,Q27686,10310.07
id-4332,Q6TUJ5,103100.01
id-1557,Q4QBL1,10312.67
id-2690,P48499,10313.09
id-1432,Q4QHJ8,10313.43
id-3153,Q4QHJ8,10313.99
id-2259,Q6TUJ5,103138.33
id-1037,Q4QHJ8,10315.0
id-1297,Q27686,10315.82
id-1490,Q6TUJ5,103166.08
id-1306,P48499,10317.72
id-1341,Q4QHJ8,10317.76
id-5290,Q4QHJ8,10317.94
id-3309,Q4QHJ8,10318.43
id-2780,Q4QHJ8,10319.37
id-4962,Q4QBL1,1032.08
id-349,Q4QBL1,1032.08
id-826,Q4QBL1,1032.08
id-2703,Q27686,1032.47
id-4184,Q27686,1032.66
id-38,O97193,1032.94
id-3752,Q27686,10325.54
id-1925,Q6TUJ5,10328.76
id-2796,P48499,10328.87
id-737,Q4QBL1,10328.91
id-3943,Q27686,1033.27
id-1664,Q4QBL1,1033.3
id-3811,O97193,1033.57
id-1311,O15826,1033.59
id-3401,O15826,1033.6
id-856,Q27686,1033.61
id-2187,Q27686,1033.82
id-3157,Q27686,1033.84
id-1097,O15826,10331.2
id-4192,Q27686,10332.08
id-1891,P48499,103334.31
id-2649,Q4QHJ8,10334.32
id-614,P48499,103349.12
id-2023,P48499,1033509.92
id-893,Q6TUJ5,10336.63
id-3643,P48499,10338.24
id-5144,O97193,103391.97
id-1805,Q4QBL1,1034.39
id-2681,Q4QHJ8,1034.39
id-261,Q6TUJ5,1034.48
id-736,Q4QBL1,1034.99
id-3202,Q27686,103408.88
id-782,O15826,10341.93
id-111,O97193,10342.34
id-3454,P48499,103432.5
id-3577,Q6TUJ5,103439.2
id-703,P48499,10344.28
id-1752,O97193,10345.19
id-3065,Q6TUJ5,10345.41
id-3286,Q6TUJ5,103489.98
id-1845,Q27686,1035.02
id-2661,Q4QBL1,1035.31
id-4025,Q4QBL1,1035.58
id-4728,Q4QHJ8,1035.87
id-2698,Q4QHJ8,10351.51
id-3279,Q27686,10353.35
id-5012,Q6TUJ5,103540.21
id-3124,Q4QHJ8,103542.03
id-459,P48499,10355.65
id-3011,Q4QHJ8,10359.42
id-3253,Q27686,1036.51
id-3031,Q4QBL1,1036.73
id-1339,Q4QHJ8,1036.85
id-1777,Q4QBL1,10361.52
id-1077,P48499,10361.99
id-2596,P48499,10362.72
id-3358,P48499,10363.67
id-1041,O97193,10365.51
id-3054,Q4QHJ8,103660.79
id-4702,Q4QHJ8,10368.41
id-255,Q4QHJ8,10368.41
id-959,P48499,103682.47
id-2275,Q6TUJ5,103693.35
id-2693,O15826,1037.2
id-1767,Q4QBL1,1037.41
id-836,Q4QBL1,1037.41
id-3460,O15826,1037.73
id-2871,P48499,10370.1
id-3739,O15826,10375.91
id-3211,O15826,10377.02
id-4225,Q27686,10377.06
id-2338,Q4QHJ8,10379.06
id-2580,Q4QHJ8,1038.12
id-2445,Q6TUJ5,1038.52
id-3538,O97193,10380.58
id-589,Q6TUJ5,10380.69
id-872,Q4QHJ8,10389.52
id-3412,Q4QHJ8,10389.76
id-5075,Q4QHJ8,10389.84
id-351,Q27686,1039.26
id-2248,Q27686,1039.73
id-3125,P48499,10392.37
id-2735,Q6TUJ5,103921.64
id-2139,Q4QHJ8,10395.15
id-3364,Q6TUJ5,10396.0
id-2294,Q4QBL1,10396.09
id-144,Q4QBL1,10396.71
id-1189,Q4QBL1,10396.95
id-4414,O97193,10397.36
id-2545,Q4QBL1,103982.25
id-2679,Q4QHJ8,10399.94
id-4912,Q6TUJ5,103991.32
id-3657,P48499,104.0
id-1821,O15826,104.03
id-283,O15826,104.06
id-2300,O15826,104.17
id-2684,Q4QHJ8,104.22
id-3823,O97193,104.38
id-250,O97193,104.42
id-545,O97193,104.45
id-2035,O15826,104.46
id-4165,O97193,104.54
id-2611,Q27686,104.54
id-4578,Q4QHJ8,104.54
id-1849,Q4QBL1,104.65
id-1791,O15826,104.74
id-784,O15826,104.81
id-2776,P48499,104.83
id-2219,Q4QHJ8,104.88
id-220,Q27686,1040.08
id-4141,P48499,1040.37
id-3249,Q27686,1040.6
id-2128,O15826,104007.94
id-1413,P48499,10401.34
id-187,Q4QBL1,10401.39
id-3731,P48499,104029.86
id-2361,Q4QHJ8,10404.84
id-2004,O97193,10406.28
id-4514,Q4QHJ8,10407.28
id-3656,O97193,10407.97
id-2612,P48499,10408.88
id-3368,Q27686,1041.08
id-5067,Q4QHJ8,1041.18
id-104,Q4QHJ8,1041.26
id-411,Q4QBL1,1041.27
id-2410,Q4QHJ8,1041.39
id-2268,Q27686,10411.9
id-607,Q4QBL1,10413.05
id-2747,Q6TUJ5,10415.66
id-2193,O97193,1042.39
id-3551,O15826,1042.52
id-419,Q4QHJ8,1042.84
id-2155,O97193,1042.93
id-821,Q6TUJ5,104201.51
id-1525,P48499,10421.37
id-404,Q4QHJ8,10425.83
id-2027,Q4QHJ8,10425.9
id-654,Q6TUJ5,10426.15
