zinc_id,pid,Kd,DeepPurpose_score
ZINC000017836367,P48499,2.4592759609222408,153394.94
ZINC000018279893,P48499,2.4592759609222408,153394.94
ZINC000013545678,P48499,2.4592759609222408,153394.94
ZINC000002041302,P48499,2.4592759609222408,153394.94
ZINC000005131989,P48499,2.4592759609222408,153394.94
ZINC000002530725,P48499,2.4592759609222408,153394.94
ZINC000001532640,P48499,2.4592759609222408,153394.94
ZINC000000901351,Q27686,2.46352767944336,16741.49
ZINC000008214630,O97193,2.4681079387664795,26237.04
ZINC000008214630,P48499,2.4715795516967773,94045.11
ZINC000034676244,Q6TUJ5,2.473045825958252,30327.88
ZINC000034676245,Q6TUJ5,2.473045825958252,30327.88
ZINC000000895536,P48499,2.4760124683380127,26407.99
ZINC000001675415,Q6TUJ5,2.477288246154785,538025.99
ZINC000000895099,P48499,2.487044334411621,71614.58
ZINC000000897095,Q6TUJ5,2.4897620677948,14591.8
ZINC000000897103,Q6TUJ5,2.4897620677948,14591.8
ZINC000000897102,Q6TUJ5,2.4897620677948,14591.8
ZINC000100051348,Q6TUJ5,2.4897620677948,14591.8
ZINC000001530660,O97193,2.4903106689453125,65.08
ZINC000001530659,O97193,2.4903106689453125,65.08
ZINC000003794714,P48499,2.491398572921753,44355.49
ZINC000003870514,P48499,2.491398572921753,44355.49
ZINC000003870515,P48499,2.491398572921753,44355.49
ZINC000013612564,P48499,2.491398572921753,44355.49
ZINC000001636704,P48499,2.491398572921753,44355.49
ZINC000000899004,P48499,2.491398572921753,44355.49
ZINC000003995890,P48499,2.491398572921753,44355.49
ZINC000000002233,O15826,2.494006395339966,1646.48
ZINC000001712524,Q6TUJ5,2.500404357910156,500321.34
ZINC000008214630,Q27686,2.5062713623046875,46218.76
ZINC000000895103,P48499,2.5087592601776123,29303.53
ZINC000000896695,P48499,2.5106704235076904,160873.78
ZINC000003872814,Q6TUJ5,2.512014389038086,15339.76
ZINC000001532556,P48499,2.5164411067962646,25057.22
ZINC000000901061,P48499,2.518024206161499,16332.16
ZINC000100009383,P48499,2.5245602130889893,21451.05
ZINC000100008403,P48499,2.5245602130889893,21451.05
ZINC000000901061,Q27686,2.528885841369629,2866.09
ZINC000100053153,P48499,2.529221296310425,11878.73
ZINC000001856991,P48499,2.529221296310425,11878.73
ZINC000104375779,P48499,2.529221534729004,11878.73
ZINC000256066513,P48499,2.529221534729004,11878.73
ZINC000038523228,P48499,2.529221534729004,11878.73
ZINC000100053150,P48499,2.529221534729004,11878.73
ZINC000150307441,P48499,2.529221534729004,11878.73
ZINC000000901335,Q27686,2.531127691268921,1164.52
ZINC000001532805,Q6TUJ5,2.538642406463623,18417.56
ZINC000000895969,P48499,2.5397319793701167,65209.09
ZINC000000897105,Q6TUJ5,2.5420987606048584,13576.51
ZINC000096077882,Q6TUJ5,2.5420987606048584,13576.51
ZINC000004658560,Q27686,2.5436811447143555,7468.99
ZINC000004658562,Q27686,2.5436811447143555,7468.99
ZINC000000001028,O15826,2.546988010406494,5788.45
ZINC000095618907,Q6TUJ5,2.549314022064209,16636.09
ZINC000000895271,Q6TUJ5,2.550067663192749,22182.1
ZINC000017971067,Q6TUJ5,2.550067663192749,22182.1
ZINC000008214630,Q4QHJ8,2.553661823272705,45473.24
ZINC000004658553,Q27686,2.5537340641021733,17558.71
ZINC000006050663,Q6TUJ5,2.554594755172729,17853.46
ZINC000004658562,P48499,2.556350946426392,28686.23
ZINC000004658560,P48499,2.556350946426392,28686.23
ZINC000053122793,P48499,2.559203863143921,136519.38
ZINC000052986906,P48499,2.559203863143921,136519.38
ZINC000033506024,Q6TUJ5,2.5601303577423096,272929.76
ZINC000008214630,O15826,2.564276218414306,10542.9
ZINC000000155694,O97193,2.5654520988464355,88.33
ZINC000100008275,O97193,2.5654520988464355,88.33
ZINC000005850277,Q27686,2.5657176971435547,85265.3
ZINC000000895342,Q27686,2.5709421634674072,1325.65
ZINC000000895034,Q27686,2.5709421634674072,1325.65
ZINC000008214630,Q4QBL1,2.5724072456359863,29569.0
ZINC000005850277,O15826,2.573818683624268,36805.66
ZINC000019363537,Q6TUJ5,2.579347848892212,448884.3
ZINC000000895040,P48499,2.5868828296661377,103516.91
ZINC000001532517,Q27686,2.588122844696045,4710.85
ZINC000001529214,Q27686,2.590029239654541,298633.92
ZINC000001529215,Q27686,2.590029239654541,298633.92
ZINC000038174297,O15826,2.590343475341797,125.06
ZINC000003593790,O15826,2.590343475341797,125.06
ZINC000038174299,O15826,2.590343475341797,125.06
ZINC000001532519,P48499,2.5912840366363525,6742.16
ZINC000000895032,Q27686,2.592590093612671,9012.52
ZINC000000160790,Q6TUJ5,2.5948948860168457,58103.41
ZINC000001532526,P48499,2.6114788055419917,24866.31
ZINC000000001886,P48499,2.6136016845703125,214001.2
ZINC000000895969,Q27686,2.6136703491210938,58711.99
ZINC000018168715,Q27686,2.6137402057647705,2614.19
ZINC000039252793,Q6TUJ5,2.6155738830566406,84664.99
ZINC000242649149,Q6TUJ5,2.6178996562957764,13873.52
ZINC000242649151,Q6TUJ5,2.6178996562957764,13873.52
ZINC000242649153,Q6TUJ5,2.6178996562957764,13873.52
ZINC000005419310,Q6TUJ5,2.6178996562957764,13873.52
ZINC000013282550,Q6TUJ5,2.6178996562957764,13873.52
ZINC000242649207,Q6TUJ5,2.6178996562957764,13873.52
ZINC000000902108,Q27686,2.6189777851104736,133098.06
ZINC000003606265,Q27686,2.6189777851104736,133098.06
ZINC000003869726,Q27686,2.6189777851104736,133098.06
ZINC000003869728,Q27686,2.6189777851104736,133098.06
ZINC000100051350,Q6TUJ5,2.622586250305176,270566.55
ZINC000005134248,Q6TUJ5,2.622586250305176,270566.55
ZINC000000895030,Q6TUJ5,2.6238667964935303,19080.45
ZINC000003831474,P48499,2.624297618865967,106429.95
ZINC000003831477,P48499,2.624297618865967,106429.95
ZINC000003831475,P48499,2.624297618865967,106429.95
ZINC000019364225,O15826,2.625526428222656,69643.14
ZINC000002077807,P48499,2.6302077770233154,243657.5
ZINC000001529425,Q6TUJ5,2.6305007934570312,26044.45
ZINC000000895030,Q27686,2.6310179233551025,7544.22
ZINC000000066064,Q6TUJ5,2.6342055797576904,780039.84
ZINC000000012346,Q6TUJ5,2.6343111991882324,72240.04
ZINC000003830689,P48499,2.639270782470703,42921.67
ZINC000000033882,Q6TUJ5,2.6397383213043213,203825.81
ZINC000008214630,Q6TUJ5,2.6405906677246094,111126.19
ZINC000000033882,O15826,2.647178173065185,45509.75
ZINC000005157164,Q6TUJ5,2.652714729309082,300105.49
ZINC000005134829,Q6TUJ5,2.652714729309082,300105.49
ZINC000000901555,P48499,2.655444383621216,116603.9
ZINC000000901552,P48499,2.655444383621216,116603.9
ZINC000003833800,P48499,2.656651496887207,1057674.6
ZINC000003861213,P48499,2.656651496887207,1057674.6
ZINC000000895081,Q27686,2.657602310180664,3181.03
ZINC000019230197,P48499,2.661038398742676,67121.68
ZINC000019230196,P48499,2.661038398742676,67121.68
ZINC000000902108,P48499,2.66191029548645,237448.19
ZINC000003869726,P48499,2.66191029548645,237448.19
ZINC000003869728,P48499,2.66191029548645,237448.19
ZINC000003606265,P48499,2.66191029548645,237448.19
ZINC000100029264,Q6TUJ5,2.66243314743042,149021.04
ZINC000001530870,Q6TUJ5,2.66243314743042,149021.04
ZINC000000000816,Q27686,2.66481351852417,1184.99
ZINC000001571392,Q27686,2.66481351852417,1184.99
ZINC000001697403,O97193,2.666644096374512,10745.52
ZINC000000895040,Q6TUJ5,2.668637752532959,125304.36
ZINC000000895077,P48499,2.6697938442230225,27823.87
ZINC000000895703,P48499,2.6697938442230225,27823.87
ZINC000002167062,P48499,2.670536518096924,337014.39
ZINC000001560331,Q6TUJ5,2.672651052474976,98822.18
ZINC000002033583,Q6TUJ5,2.672651052474976,98822.18
ZINC000242522150,O97193,2.6761305332183842,12572.44
ZINC000003861770,P48499,2.680960893630981,320606.37
ZINC000000000922,P48499,2.6837522983551025,64289.32
ZINC000001532728,P48499,2.685859680175781,118764.66
ZINC000001532620,Q6TUJ5,2.686310052871704,23681.21
ZINC000001532805,P48499,2.6913042068481445,34212.25
ZINC000003875768,Q6TUJ5,2.6946678161621094,392542.22
ZINC000001532517,P48499,2.694952249526977,16858.12
ZINC000001571392,Q6TUJ5,2.6962039470672607,2506.66
ZINC000000000816,Q6TUJ5,2.6962039470672607,2506.66
ZINC000000001688,P48499,2.698147773742676,60902.02
ZINC000005975487,Q6TUJ5,2.7028672695159908,168012.58
ZINC000003870472,Q6TUJ5,2.7044153213500977,3395.9
ZINC000001492231,Q6TUJ5,2.7044153213500977,3395.9
ZINC000001492251,Q6TUJ5,2.7044153213500977,3395.9
ZINC000002585429,Q6TUJ5,2.7044153213500977,3395.9
ZINC000001492232,Q6TUJ5,2.7044153213500977,3395.9
ZINC000001492250,Q6TUJ5,2.7044153213500977,3395.9
ZINC000001408068,P48499,2.7044734954833984,153514.4
ZINC000003792328,Q6TUJ5,2.7048189640045166,38060.41
ZINC000001536077,Q6TUJ5,2.7048189640045166,38060.41
ZINC000003831551,P48499,2.7050280570983887,19963.39
ZINC000000155905,P48499,2.7050280570983887,19963.39
ZINC000004658552,Q27686,2.7096259593963623,11673.42
ZINC000019364225,Q27686,2.7144556045532227,204993.65
ZINC000001482113,Q27686,2.716766119003296,11312.85
ZINC000001408068,Q27686,2.7184393405914307,87233.9
ZINC000001530348,Q6TUJ5,2.7203617095947266,42013.95
ZINC000000895536,O97193,2.7249903678894043,1841.68
ZINC000000599985,Q6TUJ5,2.7260584831237797,253747.23
ZINC000242522150,P48499,2.728336811065674,96789.11
ZINC000000088619,P48499,2.7351462841033936,65591.54
ZINC000100009383,Q27686,2.7384605407714844,8337.65
ZINC000100008403,Q27686,2.7384605407714844,8337.65
ZINC000003581355,P48499,2.7411704063415527,88239.49
ZINC000000895042,Q27686,2.7435152530670166,3370.44
ZINC000000039906,Q6TUJ5,2.7447752952575684,53373.94
ZINC000008220699,Q6TUJ5,2.746185064315796,169164.47
ZINC000005181060,Q6TUJ5,2.7488462924957275,9536.84
ZINC000001743726,Q6TUJ5,2.7488462924957275,9536.84
ZINC000005181061,Q6TUJ5,2.7488462924957275,9536.84
ZINC000100051356,Q6TUJ5,2.7488462924957275,9536.84
ZINC000001492231,P48499,2.7513136863708496,4718.9
ZINC000001492250,P48499,2.7513136863708496,4718.9
ZINC000003870472,P48499,2.7513136863708496,4718.9
ZINC000001492232,P48499,2.7513136863708496,4718.9
ZINC000001492251,P48499,2.7513136863708496,4718.9
ZINC000002585429,P48499,2.7513136863708496,4718.9
ZINC000006050663,O97193,2.752007246017456,6713.74
ZINC000008579603,Q6TUJ5,2.753621816635132,301634.81
ZINC000001769275,Q27686,2.757492780685425,54135.05
ZINC000100006770,P48499,2.7618083953857417,61560.33
ZINC000001482128,Q6TUJ5,2.764845848083496,39916.5
ZINC000001571392,O15826,2.765292167663574,43.62
ZINC000000000816,O15826,2.765292167663574,43.62
ZINC000001697403,Q27686,2.7700963020324707,11852.78
ZINC000001529732,P48499,2.773613691329956,131450.29
ZINC000000001886,O97193,2.775784969329834,15300.35
ZINC000002388372,Q6TUJ5,2.778848648071289,328205.75
ZINC000000901811,P48499,2.779238224029541,4126.88
ZINC000000901808,P48499,2.779238224029541,4126.88
ZINC000003870514,Q6TUJ5,2.782836675643921,62624.65
ZINC000003794714,Q6TUJ5,2.782836675643921,62624.65
ZINC000013612564,Q6TUJ5,2.782836675643921,62624.65
ZINC000003995890,Q6TUJ5,2.782836675643921,62624.65
ZINC000003870515,Q6TUJ5,2.782836675643921,62624.65
ZINC000000899004,Q6TUJ5,2.782836675643921,62624.65
ZINC000001636704,Q6TUJ5,2.782836675643921,62624.65
ZINC000003861770,Q6TUJ5,2.7844271659851074,447391.22
ZINC000006827693,O97193,2.787694215774536,12065.74
ZINC000000895212,Q6TUJ5,2.787747621536255,20381.65
ZINC000003860897,Q6TUJ5,2.794609785079956,38069.14
ZINC000000388075,Q6TUJ5,2.794609785079956,38069.14
ZINC000000391820,Q6TUJ5,2.796299695968628,13879.92
ZINC000000005898,Q6TUJ5,2.796299695968628,13879.92
ZINC000005134119,O97193,2.8001644611358643,78.8
ZINC000005134113,O97193,2.8001644611358643,78.8
ZINC000000002235,Q6TUJ5,2.800812005996704,95992.19
ZINC000033506024,O15826,2.802535057067871,14379.68
ZINC000006827693,Q6TUJ5,2.804147720336914,86173.04
ZINC000036533634,Q6TUJ5,2.806490898132324,96293.78
ZINC000013514753,P48499,2.8068478107452397,123759.12
ZINC000001530659,O15826,2.807338237762451,47.29
ZINC000001530660,O15826,2.807338237762451,47.29
ZINC000000000920,P48499,2.8121395111083984,22254.91
ZINC000000001798,Q6TUJ5,2.8136391639709477,19940.59
ZINC000000391812,Q6TUJ5,2.8136391639709477,19940.59
ZINC000000388075,P48499,2.814053773880005,34492.56
ZINC000003860897,P48499,2.814053773880005,34492.56
ZINC000000158585,Q6TUJ5,2.815574407577514,495046.92
ZINC000003788703,P48499,2.815625667572021,25475.47
ZINC000000895099,Q27686,2.8173577785491943,60956.61
ZINC000245189278,P48499,2.818422794342041,271606.36
ZINC000000895536,Q27686,2.8203132152557373,16039.3
ZINC000018168715,Q6TUJ5,2.821180582046509,11873.62
ZINC000000000922,Q27686,2.8215432167053223,57716.26
ZINC000003861213,Q27686,2.8240890502929688,892445.18
ZINC000003833800,Q27686,2.8240890502929688,892445.18
ZINC000005850277,O97193,2.826192617416382,64104.72
ZINC000019795995,Q6TUJ5,2.8287644386291504,1642.61
ZINC000003079364,Q6TUJ5,2.831384897232056,81978.53
ZINC000000402956,Q6TUJ5,2.831384897232056,81978.53
ZINC000017971067,O15826,2.83251953125,1862.15
ZINC000000895271,O15826,2.83251953125,1862.15
ZINC000242522150,Q6TUJ5,2.8336365222930913,126078.84
ZINC000005134113,O15826,2.8337104320526123,55.84
ZINC000005134119,O15826,2.8337104320526123,55.84
ZINC000000895969,O15826,2.837791204452514,3774.34
ZINC000019166991,P48499,2.8421871662139893,41702.49
ZINC000000057058,Q6TUJ5,2.843935489654541,19516.59
ZINC000003872520,Q6TUJ5,2.8511674404144287,185875.14
ZINC000001530660,Q27686,2.852949380874634,1239.37
ZINC000001530659,Q27686,2.852949380874634,1239.37
ZINC000000895360,Q6TUJ5,2.853348016738892,25344.79
ZINC000000901351,Q6TUJ5,2.8533828258514404,38530.95
ZINC000000001585,Q6TUJ5,2.8539366722106934,245613.97
ZINC000001530283,P48499,2.854609966278076,269929.19
ZINC000001529215,Q6TUJ5,2.8549730777740483,712063.23
ZINC000001529214,Q6TUJ5,2.8549730777740483,712063.23
ZINC000004640636,Q6TUJ5,2.8554105758666988,92296.69
ZINC000000001688,Q27686,2.8555455207824707,54131.72
ZINC000000895271,Q27686,2.8609213829040527,9061.44
ZINC000017971067,Q27686,2.8609213829040527,9061.44
ZINC000005850277,P48499,2.861080408096313,177601.6
ZINC000019230196,Q6TUJ5,2.861520528793335,97174.36
ZINC000019230197,Q6TUJ5,2.861520528793335,97174.36
ZINC000100006770,Q27686,2.861558675765991,52819.53
ZINC000001532530,P48499,2.86385178565979,20338.24
ZINC000001532678,P48499,2.86385178565979,20338.24
ZINC000002530725,Q27686,2.8639419078826904,97943.34
ZINC000001532640,Q27686,2.8639419078826904,97943.34
ZINC000005131989,Q27686,2.8639419078826904,97943.34
ZINC000017836367,Q27686,2.8639419078826904,97943.34
ZINC000002041302,Q27686,2.8639419078826904,97943.34
ZINC000013545678,Q27686,2.8639419078826904,97943.34
ZINC000018279893,Q27686,2.8639419078826904,97943.34
ZINC000000164000,Q6TUJ5,2.8643779754638667,949008.55
ZINC000003831477,Q27686,2.8685729503631587,75115.09
ZINC000003831475,Q27686,2.8685729503631587,75115.09
ZINC000003831474,Q27686,2.8685729503631587,75115.09
ZINC000001532583,Q6TUJ5,2.8688952922821045,46203.28
ZINC000001532582,Q6TUJ5,2.8688952922821045,46203.28
ZINC000003780929,O97193,2.868943691253662,6738.11
ZINC000003598263,P48499,2.869253873825073,171059.29
ZINC000000105246,P48499,2.8705921173095703,101877.79
ZINC000000901351,O97193,2.8714890480041504,2369.06
ZINC000001532519,Q27686,2.8725461959838867,1387.61
ZINC000000901736,P48499,2.8746602535247803,217095.16
ZINC000000895457,P48499,2.8746602535247803,217095.16
ZINC000013545632,Q6TUJ5,2.876686811447144,97864.12
ZINC000000155694,O15826,2.8795528411865234,63.07
ZINC000100008275,O15826,2.8795528411865234,63.07
ZINC000003079337,Q6TUJ5,2.880377769470215,322973.37
ZINC000001532529,Q6TUJ5,2.8815124034881587,35476.21
ZINC000001532766,Q6TUJ5,2.8815124034881587,35476.21
ZINC000001530648,Q6TUJ5,2.8839852809906006,141118.3
ZINC000019166991,O97193,2.8851802349090576,4476.81
ZINC000000895199,P48499,2.8853271007537837,1125200.6
ZINC000009302211,Q6TUJ5,2.8855190277099614,22542.38
ZINC000000895103,Q27686,2.8861119747161865,11924.01
ZINC000000114127,P48499,2.887221336364746,85630.81
ZINC000000114124,P48499,2.887221336364746,85630.81
ZINC000084397769,Q27686,2.8884005546569824,6914.02
ZINC000000001886,Q27686,2.88948130607605,108791.42
ZINC000002581450,Q6TUJ5,2.8927524089813232,7272.93
ZINC000005842326,Q6TUJ5,2.8927524089813232,7272.93
ZINC000005838947,Q6TUJ5,2.8927524089813232,7272.93
ZINC000005838977,Q6TUJ5,2.8927524089813232,7272.93
ZINC000008602956,Q6TUJ5,2.8971462249755864,36329.89
ZINC000003872049,P48499,2.8972864151000977,741865.76
ZINC000100008275,Q27686,2.8979504108428955,1860.69
ZINC000000155694,Q27686,2.8979504108428955,1860.69
ZINC000003874803,Q6TUJ5,2.8994083404541016,92671.08
ZINC000000000816,Q4QHJ8,2.9000439643859863,503.94
ZINC000001571392,Q4QHJ8,2.9000439643859863,503.94
ZINC000014658068,O15826,2.902066469192505,51786.52
ZINC000000403618,Q6TUJ5,2.90252423286438,11372.43
ZINC000002077807,Q27686,2.903398036956787,157251.73
ZINC000000967474,Q6TUJ5,2.90458083152771,52587.83
ZINC000000967473,Q6TUJ5,2.90458083152771,52587.83
ZINC000005134248,O97193,2.904814481735229,28197.31
ZINC000100051350,O97193,2.904814481735229,28197.31
ZINC000000895030,O97193,2.9065320491790767,22231.81
ZINC000000901039,Q6TUJ5,2.9066288471221924,3566788.24
ZINC000000968256,O15826,2.9076235294342037,692.11
ZINC000100353889,P48499,2.910441875457764,247284.87
ZINC000038523228,Q6TUJ5,2.9112472534179688,13973.59
ZINC000100053153,Q6TUJ5,2.9112472534179688,13973.59
ZINC000100053150,Q6TUJ5,2.9112472534179688,13973.59
ZINC000104375779,Q6TUJ5,2.9112472534179688,13973.59
ZINC000150307441,Q6TUJ5,2.9112472534179688,13973.59
ZINC000001856991,Q6TUJ5,2.9112472534179688,13973.59
ZINC000256066513,Q6TUJ5,2.9112472534179688,13973.59
ZINC000005159450,Q6TUJ5,2.914722442626953,303.22
ZINC000005419315,Q6TUJ5,2.914722442626953,303.22
ZINC000000088619,Q27686,2.9147658348083496,54365.33
ZINC000001846431,P48499,2.916508436203003,37475.6
ZINC000000388075,O15826,2.9168415069580083,2260.73
ZINC000003860897,O15826,2.9168415069580083,2260.73
ZINC000019363537,Q27686,2.9181199073791504,204993.65
ZINC000001853454,O97193,2.920538902282715,4351.82
ZINC000245189278,Q27686,2.9208600521087646,145564.96
ZINC000001571392,P48499,2.925379514694214,3487.95
ZINC000000000816,P48499,2.925379514694214,3487.95
ZINC000019230121,O97193,2.9261221885681152,7959.95
ZINC000000049154,Q6TUJ5,2.9273250102996826,9070.97
ZINC000000001504,P48499,2.9305312633514404,47481.05
ZINC000084397769,O15826,2.9310884475708012,858.34
ZINC000000586584,Q6TUJ5,2.9311249256134038,44586.39
ZINC000000004949,Q6TUJ5,2.931509256362915,93031.26
ZINC000003830689,Q27686,2.9368791580200195,12894.47
ZINC000034676244,O97193,2.9379286766052246,720.51
ZINC000034676245,O97193,2.9379286766052246,720.51
ZINC000002539702,P48499,2.9402289390563965,584744.44
ZINC000000967189,Q6TUJ5,2.9407801628112797,793725.99
ZINC000005975487,P48499,2.9426298141479488,141122.87
ZINC000003581355,Q27686,2.944167375564575,67586.17
ZINC000000404287,P48499,2.9445226192474365,257615.86
ZINC000003812960,P48499,2.945983409881592,16935.37
ZINC000003872952,P48499,2.945983409881592,16935.37
ZINC000004578995,Q6TUJ5,2.947007179260254,186570.63
ZINC000005187769,Q6TUJ5,2.9477126598358154,46573.05
ZINC000008034121,O15826,2.9520893096923833,11537.45
ZINC000006524886,Q6TUJ5,2.9521050453186035,68629.32
ZINC000006524885,Q6TUJ5,2.9521050453186035,68629.32
ZINC000037253587,O97193,2.954931259155273,15325.94
ZINC000000895360,O97193,2.9604663848876958,1706.57
ZINC000003794711,Q6TUJ5,2.961641788482666,127086.25
ZINC000000895212,O97193,2.9619147777557373,6617.34
ZINC000001481960,P48499,2.9620389938354488,415826.55
ZINC000000896988,P48499,2.9621977806091313,39922.59
ZINC000004097426,Q6TUJ5,2.962732076644897,132986.02
ZINC000003598263,Q6TUJ5,2.962733745574951,192131.12
ZINC000002015035,P48499,2.967660665512085,27054.56
ZINC000001529425,O97193,2.9680542945861816,786.44
ZINC000005514900,Q6TUJ5,2.9681081771850586,89419.11
ZINC000000388075,Q27686,2.969395637512207,15542.46
ZINC000003860897,Q27686,2.969395637512207,15542.46
ZINC000008614810,Q6TUJ5,2.9722080230712886,1463513.36
ZINC000006661227,P48499,2.974286794662476,87519.98
ZINC000001697403,P48499,2.9746248722076416,38428.79
ZINC000019230121,Q27686,2.975266933441162,77152.68
ZINC000019364225,O97193,2.9754462242126465,112272.2
ZINC000001847395,P48499,2.9765398502349854,115285.89
ZINC000012859773,Q6TUJ5,2.9773747920989986,82122.4
ZINC000000901811,Q6TUJ5,2.977935075759888,3410.32
ZINC000000901808,Q6TUJ5,2.977935075759888,3410.32
ZINC000006661227,Q6TUJ5,2.9783031940460205,127524.24
ZINC000001697403,Q6TUJ5,2.9815709590911865,33148.5
ZINC000003593790,O97193,2.982121706008911,170.97
ZINC000038174299,O97193,2.982121706008911,170.97
ZINC000038174297,O97193,2.982121706008911,170.97
ZINC000004097426,P48499,2.9842793941497803,118092.48
ZINC000001530805,Q6TUJ5,2.984290361404419,37183.82
ZINC000001530806,Q6TUJ5,2.984290361404419,37183.82
ZINC000033650254,Q6TUJ5,2.98471474647522,30172.64
ZINC000033650255,Q6TUJ5,2.98471474647522,30172.64
ZINC000002167062,Q27686,2.985175371170044,174728.09
ZINC000038139367,O97193,2.988755702972412,122454.58
ZINC000002016052,Q27686,2.989386320114136,55605.0
ZINC000100007011,Q6TUJ5,2.992257833480835,28062.31
ZINC000100071256,Q6TUJ5,2.992257833480835,28062.31
ZINC000000001706,Q6TUJ5,2.9924323558807373,302085.06
ZINC000019230121,O15826,2.992732286453247,5458.39
ZINC000001532728,Q27686,2.992933511734009,60468.6
ZINC000000896695,Q6TUJ5,2.994142770767212,199205.86
ZINC000001081066,Q6TUJ5,2.9947609901428223,467318.92
ZINC000000901061,Q6TUJ5,2.9952497482299805,13422.56
ZINC000001847395,O97193,2.9952616691589355,47404.06
ZINC000000156530,Q6TUJ5,2.9953279495239262,330457.92
ZINC000013545636,O15826,2.9954164028167725,718.23
ZINC000013545634,O15826,2.9954164028167725,718.23
ZINC000000895360,P48499,2.9955074787139893,22998.58
ZINC000008214514,Q6TUJ5,2.997799158096313,77209.12
ZINC000003651680,O15826,2.998415231704712,2105.65
ZINC000000968345,O15826,2.998415231704712,2105.65
ZINC000000895536,Q6TUJ5,2.999422311782837,40533.47
ZINC000005842751,Q6TUJ5,3.000500202178955,16085.06
ZINC000005839426,Q6TUJ5,3.000500202178955,16085.06
ZINC000002570846,Q6TUJ5,3.000500202178955,16085.06
ZINC000005839270,Q6TUJ5,3.000500202178955,16085.06
ZINC000019230196,Q27686,3.0013058185577397,60469.06
ZINC000019230197,Q27686,3.0013058185577397,60469.06
ZINC000002167062,O97193,3.0041713714599614,69331.1
ZINC000000586584,Q27686,3.0042941570281982,22083.24
ZINC000001530427,Q27686,3.004307985305786,106701.46
ZINC000002020259,Q6TUJ5,3.0047078132629395,20520.24
ZINC000004658552,Q6TUJ5,3.00501036643982,29380.59
ZINC000001571392,Q4QBL1,3.0050551891326904,810.71
ZINC000000000816,Q4QBL1,3.0050551891326904,810.71
ZINC000001532678,Q6TUJ5,3.006107807159424,19092.58
ZINC000001532530,Q6TUJ5,3.006107807159424,19092.58
ZINC000005239470,Q6TUJ5,3.0070524215698238,249426.92
ZINC000016929327,Q6TUJ5,3.007952690124512,39785.06
