smile-id,smile
smile-55,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O
smile-56,O=C(NC[C@@H]1CCCCN1)c1cc(O)ccc1OCC(F)(F)F
smile-57,CCC(=C)C(=O)C1=C(Cl)C(Cl)=C(OCC(O)=O)C=C1
smile-58,COCC(=O)Nc1c(I)c(C(=O)NC[C@H](O)CO)c(I)c(C(=O)N(C)C[C@@H](O)CO)c1I
smile-59,NCC[C@@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1
smile-60,CC(OC(C)=O)C(=O)OCC[N+](C)(C)C
smile-61,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)C1=CC=CO1)C(=O)COC(C)=O
smile-62,CC(C)S(=O)(=O)N[C@H]1COC[C@H]1Oc1ccc(-c2ccc(C#N)s2)cc1
smile-63,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C
smile-64,CC(C)(C)C(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
smile-65,C1=CCOCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cccc(c2)COC1
smile-66,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(COc1ccc(C[C@H]3SC(=O)NC3=O)cc1)O2
smile-67,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)C[C@H](O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O)C(=O)C(C)(C)O
smile-68,CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)[C@@H]1c1ccccc1/C=C/C(=O)OC(C)(C)C
smile-69,Cc1cccc(Nc2ccncc2S(=O)(=O)/N=C(\O)NC(C)C)c1
smile-70,CO/N=C(\C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(/C=C\c3scnc3C)CS[C@H]12)c1csc(N)n1
smile-71,C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCC)cc1O
smile-72,OCc1cc([C@@H](O)CNCCCCCCOCCC[C@@H](O)c2ccccc2)ccc1O
smile-73,COCCOc1cc(Cn2c(C(=O)O)c(-c3ccc(C(C)(C)C)cc3)c3ccccc32)cc(OCCOC)c1
smile-74,CC(C)c1c(C(=O)Nc2ccc(O)cc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O
smile-75,Nc1ncc(-c2cnn(CCO)c2)c2scc(-c3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12
smile-76,CCOC(=O)[C@@H]1[C@@H](OC(=O)c2ccccc2)C[C@H]2CC[C@H]1N2C
smile-77,COc1nc(N)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
smile-78,COc1cc2c(cc1OC)[C@@H]1C[C@H](O)[C@@H](CC(C)C)CN1CC2
smile-79,Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O
smile-80,C[C@](N)(Cc1ccc(O)cc1)C(=O)O
smile-81,CCCCNC1=C(OC2=CC=CC=C2)C(=CC(=C1)C(O)=O)S(N)(=O)=O
smile-82,CC(C(O)=O)C1=CC(F)=C(C=C1)C1=CC=CC=C1
smile-83,CC(=O)[C@@]1(O)CC[C@@H]2[C@H]3C[C@H](C)C4=CC(=O)C[C@@H](O)[C@]4(C)[C@H]3CC[C@@]21C
smile-84,O=C(O[C@H]1[C@H](Oc2ccccc2COC(=O)[C@]2(O)C=CCCC2=O)O[C@H](CO)[C@@H](O)[C@@H]1O)c1ccccc1
smile-85,NC(=O)C1=CC=CC=C1O
smile-86,COc1cc2nc(N3CCN(C(=O)[C@@H]4CCCO4)CC3)nc(N)c2cc1OC
smile-87,CCC1=NN(CCCN2CCN(CC2)C2=CC(Cl)=CC=C2)C(=O)N1CCOC1=CC=CC=C1
smile-88,CC(C)/C=C1\N=C(CC(C)C)C(=O)N(O)C1=O
smile-89,Cc1cc(/C=C2\CN3CCC2CC3)on1
smile-90,CCCCCCCCCCCC(=O)OCCOC[C@H](OCCO)[C@@H]1OC[C@@H](OCCO)[C@H]1OCCO
smile-91,CCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-]
smile-92,CC(C)[N+]1(C)[C@@H]2CC[C@@H]1CC(OC(=O)[C@@H](CO)c1ccccc1)C2
smile-93,COC(C)(C)CCC[C@H](C)C/C=C/C(C)=C/C(=O)OC(C)C
smile-94,CNCCOC(C1=CC=CC=C1)C1=C(C)C=CC=C1
smile-95,CC[C@@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@@]12C
smile-96,CCCC(C)(COC(N)=O)COC(=O)NC(C)C
smile-97,CCCCC(=O)O[C@@]1(C(=O)CO)CC[C@@H]2[C@H]3CCC4=CC(=O)CC[C@]4(C)[C@@H]3[C@@H](O)C[C@@]21C
smile-98,CN1C(=O)[C@H](O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)C[C@H]1c1cccnc1
smile-99,COc1ccc(C(=O)NCc2cccnc2)cc1C(=O)NCc1cccnc1
smile-100,CNCC(O)C1=CC(O)=C(O)C=C1
smile-101,CCO[C@@H]1O[C@@H]2O[C@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@]42OO3
smile-102,C[C@@H]1C[C@H]2[C@@H]3C=C(C)C4=CC5=C(C[C@]4(C)[C@H]3[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(C)=O)C=NN5C1=CC=CC=C1
smile-103,C[C@@]12Cc3cn[nH]c3C[C@H]1CC[C@H]1[C@@H]3CC[C@@](C)(O)[C@]3(C)CC[C@H]12
smile-104,CC[C@@H](C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1
smile-105,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(=O)OP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O)N1C=CC(=O)NC1=O
smile-106,CC(=O)Oc1cccc(C)c1
smile-107,CC[C@H](C)C(=O)O[C@H]1[C@H](O)[C@@H]2[C@H](CN3C[C@H](C)CC[C@@H]3[C@@]2(C)O)[C@@H]2C[C@@]34O[C@@]5(O)[C@H]([C@@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]3[C@]12O)[C@]4(C)CC[C@H]5OC(=O)[C@](C)(O)CC
smile-108,CC[C@]1(O)CC(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1
smile-109,CC1(C)OC[C@@H](COC(=O)CCc2ccc(OC[C@@H](O)CNCCNC(=O)N3CCOCC3)cc2)O1
smile-110,Cc1nc(N(C)C(=O)Cc2ccc(-c3ccccn3)cc2)sc1S(N)(=O)=O
smile-111,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O
smile-112,Cn1cc(-c2ccc3nnc(Sc4ccc5ncccc5c4)n3n2)cn1
smile-113,NS(=O)(=O)C1=CC2=C(NC(NS2(=O)=O)C2CC3CC2C=C3)C=C1Cl
smile-114,OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=CC=CC=C12
smile-115,OCCN(CCO)CCO
smile-116,NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(NCC(O)=O)C=C1
smile-117,CN[C@H](C)[C@H](O)c1ccc(O)cc1
smile-118,C[C@@]12CC[C@@H]3[C@H](CC=C4C[C@H](O)CC[C@@]43C)[C@H]1CCC2=O
smile-119,CC(C)C(OC(=O)C1=CN=CC=C1)C1=CC=C(Cl)C=C1
smile-120,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O[C@@H]5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)CC[C@@]43C)[C@@H]1CCC2=O
smile-121,CCCC[C@H](CC)C/N=C(N)\N=C(\N)NCCCCCCNC(=N)N/C(N)=N/C[C@H](CC)CCCC
smile-122,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)C[C@@H]2O/C(=C/CCCC(=O)O)C[C@@H]21
smile-123,NC1=NC(NC2=CC=C(Cl)C=C2)=NC=N1
smile-124,CC(=O)Nc1c(NC=O)nc(O)n(C)c1=O
smile-125,CC(C)(C)c1cc(-c2cc(-c3ccc(C(=O)O)cc3)ccc2OCCO)ccc1N1CCCC1
smile-126,Cc1c(F)cccc1NC(=O)Nc1ccc(Cl)c(S(=O)(=O)[C@H]2CCCNC2)c1O
smile-127,O[C@H](CC[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C/CCCC(=O)OCCCCO[N+]([O-])=O)CCC1=CC=CC=C1
smile-128,CCN(CCO)CCN1C(CC2=CC=CC=C2)=NC2=C1C(=O)N(C)C(=O)N2C
smile-129,Nc1cc(C(F)(F)F)c(-c2cc(N3CCOCC3)nc(N3CCOCC3)n2)cn1
smile-130,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@H](O)CC[C@H]3[C@H]1C5
smile-131,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
smile-132,CC(C)=CCC[C@]1(C)[C@@H](CC=C(C)C)C[C@@]2(CC=C(C)C)C(=O)C(CC=C(C)C)=C(O)[C@@]1(C(=O)C(C)C)C2=O
smile-133,COC1=CC(=CC(OC)=C1OC)C(=O)OCCCN1CCCN(CCCOC(=O)C2=CC(OC)=C(OC)C(OC)=C2)CC1
smile-134,CCC(=O)O[C@@H](O[P@](=O)(CCCCc1ccccc1)CC(=O)N1C[C@H](C2CCCCC2)C[C@H]1C(=O)O)C(C)C
smile-135,Nc1nc2nc[nH]c2c(=S)[nH]1
smile-136,O=C1[C@H]2CC3C[C@@H]1CC(O)(C3)C2
smile-137,CCOC(=O)[C@@H](N)CC1=CC=C(C=C1)C1=NC(N)=NC(O[C@H](C2=C(C=C(Cl)C=C2)N2C=CC(C)=N2)C(F)(F)F)=C1
smile-138,CN(C)CCC=C1c2ccccc2C(C)(C)c2ccccc21
smile-139,CN1CC[C@@]23c4c5ccc(O[C@H]6O[C@@H](C(=O)O)[C@H](O)[C@@H](O)[C@@H]6O)c4O[C@H]2C(=O)CC[C@H]3[C@@H]1C5
smile-140,CC(C)[C@H](N)C(=O)OC[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O
smile-141,C[C@@H](O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O
smile-142,CC(=O)Nc1c(I)c(C(=O)O)c(I)c(C(=O)NCCO)c1I
smile-143,Cc1c(C)c2c(c(C)c1OC(=O)CCC(=O)OCCO)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2
smile-144,COc1c(O)c(C)c(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c(O)c1OC
smile-145,CN(C)C1=CC=C(O)C=C1
smile-146,CC(=O)N(O)Cc1ccc(OCc2ccccc2)cc1
smile-147,FC(Br)C(F)(F)F
smile-148,C[C@@H](Cc1ccccc1)/N=C/C(Cl)(Cl)Cl
smile-149,CCC[C@H](CCCO)C(=O)O
smile-150,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
smile-151,N=C(N)Nc1nc(CSCCC(=N)NS(N)(=O)=O)cs1
smile-152,CC(=O)OCOC(=O)C1=C(c2cccnc2)S[C@@H]2[C@@H]([C@@H](C)O)C(=O)N12
smile-153,N[C@@H](CC1=CC=C(C=C1)N(CCCl)CCCl)C(O)=O
smile-154,O=C(O)C[C@@H](O)C(=O)O
smile-155,O[C@H](CNC[C@@H](O)[C@@H]1CCc2cc(F)ccc2O1)[C@@H]1CCc2cc(F)ccc2O1
smile-156,O=C1C(CCSc2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1
smile-157,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)CCC1CCCC1
smile-158,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Cl)cc2)cc1
smile-159,CS(=O)(=O)Nc1cccc2c1CCC[C@@H]2c1c[nH]cn1
smile-160,O=C1[C@@H]2[C@@H]3CC[C@@H](C3O)[C@H]2C(=O)N1C[C@@H]1CCCC[C@H]1CN1CCN(c2nsc3ccccc23)CC1
smile-161,CO[C@H]1/C=C\O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(C=NN5CCN(C)CC5)c(O)c4c3C2=O)N=C(O)/C(C)=C\C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](O)[C@H]1C
smile-162,Oc1ccc2c3c1O[C@@H]1[C@@H](O)C=C[C@@H]4[C@@H](C2)NCC[C@]314
smile-163,CC(C)OC(=S)Nc1ccc(Cl)c(/C=N\OC(C)(C)C)c1
smile-164,C[C@]12CC[C@H]3[C@@H](CCC4=C(O)C(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O
smile-165,Nc1cc(Cl)ccc1C(=O)C[C@H](N)C(=O)O
smile-166,C[C@@H](O)[C@H](N)C(O)=O
smile-167,C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CCCC(C)C)C[C@@H](O)C[C@@H]1O
smile-168,NCCCC12CCC(c3ccccc31)c1ccccc12
smile-169,CCCCC(F)(F)[C@@]1(O)CC[C@H]2[C@@H](CC(=O)[C@@H]2CCCCCCC(O)=O)O1
smile-170,Nc1nc(/C(=N/OCc2cc(=O)c(O)cn2O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4cnns4)CS[C@H]23)cs1
smile-171,O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc21
smile-172,CC(N)CCCC(C)(C)O
smile-173,O=C(O)[C@H]1O[C@@H](O[C@H]2[C@@H](COS(=O)(=O)O)O[C@H](O)[C@H](NS(=O)(=O)O)[C@H]2O)[C@@H](OS(=O)(=O)O)[C@@H](O)[C@@H]1O
smile-174,CC(C)=CCC\C(C)=C\CC\C(C)=C\C(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]12C
smile-175,CC(CC(N)=O)=CC1=CC=CC=C1
smile-176,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21
smile-177,CCCCCCCCCC[N+](C)(C)CCCCCCCC
smile-178,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H](N3CC[N+](C)(C)CC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CC[N+](C)(C)CC1
smile-179,N[C@@H](Cc1c[nH]c2ccc(O)cc12)C(=O)O
smile-180,CCCCCCCCCCCCOC1=C(NC(N)=N)C=C(NC(N)=N)C=C1
smile-181,CC(C)(C)C1=NN=C(NS(=O)(=O)C2=CC=CC=C2)S1
smile-182,NCc1ccccc1
smile-183,CCCCC[C@H](O)CC[C@@H]1[C@H]2Cc3cccc(OCC(=O)O)c3C[C@H]2C[C@H]1O
smile-184,O=C(O)C1=C[C@H](OC[C@H](O)P(=O)(O)O)[C@H](O)[C@@H](O)C1
smile-185,c1cn2cc(-c3ccc4cn[nH]c4c3)nc(Nc3ccc(N4CCOCC4)cc3)c2n1
smile-186,N[C@@H](CCCCNC(=S)Nc1ccc(C[C@@H]2CN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CCN2CC(=O)O)cc1)C(=O)O
smile-187,CNCCCC12CCC(C3=CC=CC=C13)C1=C2C=CC=C1
smile-188,CC[C@@H]1C=C(C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@H](Cl)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC
smile-189,O=C(Nc1ccccc1-c1ccc(Cl)cc1)c1cccnc1Cl
smile-190,CCCCCCCCOC1=C(C=CC=C1)C(=O)NC1=CC=C(C=C1)C(=O)OCC[N+](C)(CC)CC
smile-191,CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl
smile-192,FC(F)(F)c1cccc(N2CCNCC2)c1
smile-193,CO[C@]1(C)C[C@H](O[C@H]2[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C(C)C)[C@@H]3O)[C@](C)(O)C[C@@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](c3ccccc3)OC(=O)[C@@H]2C)O[C@@H](C)[C@@H]1O
smile-194,C/N=C(/S)[C@]1(c2cccnc2)CCCC[S@@]1=O
smile-195,CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C[C@@H](C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(F)(F)F)C(C)=O
smile-196,CCOCCN(CC1=CC=C(CN(CCOCC)C(=O)C(Cl)Cl)C=C1)C(=O)C(Cl)Cl
smile-197,NC(=O)c1ccn2c1CS[C@H]2c1cccnc1
smile-198,COC1=CC=C2C=C(C=CC2=C1)[C@H](C)C(O)=O
smile-199,C(=C\c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1
smile-200,CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc([C@H](O)CNC(C)(C)C)c1
smile-201,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(C)C)c1ccccc1CC2
smile-202,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21
smile-203,CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2
smile-204,CN(CCOc1ccc(C[C@H]2SC(=O)NC2=O)cc1)c1ncccc1OS(=O)(=O)O
smile-205,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@H](C)C(=O)C(C)(C)[C@H](O)CC(=O)N1
smile-206,Cc1cn([C@@H]2C[C@@H](N)[C@@H](CO)O2)c(=O)[nH]c1=O
smile-207,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F
smile-208,O=C(O)CCCCCCCCCCCCCCc1ccc(I)cc1
smile-209,CCOC(=O)[C@H](CCC[C@@H]1Cc2ccccc2O1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O
smile-210,COC([C@H](OC1=NC(C)=CC(C)=N1)C(O)=O)(C1=CC=CC=C1)C1=CC=CC=C1
smile-211,Oc1cc2c(cc1O)[C@H]1c3ccccc3CN[C@@H]1CC2
smile-212,CCc1c(C)c2cc3[nH]c(cc4nc(cc5nc(cc1[nH]2)c(C)c5CCC(=O)O)c(CCC(=O)O)c4C)c(C)c3CC
smile-213,CCCCC1(CCCC)CN(C2=CC=CC=C2)C2=C(C=C(OCC(=O)N[C@@H](C(=O)NCC(O)=O)C3=CC=CC=C3)C(SC)=C2)S(=O)(=O)C1
smile-214,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=N[C@@H]2O
smile-215,CN1CC[C@@]23c4c5ccc(O[C@H]6O[C@@H](C(=O)O)[C@H](O)[C@@H](O)[C@@H]6O)c4O[C@H]2[C@H](O)CC[C@@H]3[C@H]1C5
smile-216,O=C[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O
smile-217,NC1=CC(O)=C(C=C1)C(O)=O
smile-218,CCCCC1OC(=O)C2=C1C=CC=C2
smile-219,CN(C(=O)C(Cl)Cl)c1ccc(O)cc1
smile-220,CC1=C[C@@H]2C[C@H](C)CC[C@@H]2[C@](C)(C(=O)C2=C(O)CNC2=O)[C@@H]1C[C@H](C)O[C@@H]1CC[C@@H](N)[C@@H](C)O1
smile-221,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncnc(Nc2ccccc2S(=O)(=O)C(C)C)n1
